ticker,company_name,sector,category,exchange,price_usd,change_1d,change_1w,change_1m,change_ytd,return_1yr,market_cap_usd_b,beta,pe_ratio,avg_volume_m,vol_1d,vol_1w,vol_1m,div_yield_pct,short_pct,analyst,analyst_score,pct_1d,val_100_1d,profit_100_1d,val_1000_1d,profit_1000_1d,val_10000_1d,profit_10000_1d,pct_1w,val_100_1w,profit_100_1w,val_1000_1w,profit_1000_1w,val_10000_1w,profit_10000_1w,pct_1m,val_100_1m,profit_100_1m,val_1000_1m,profit_1000_1m,val_10000_1m,profit_10000_1m,pct_ytd,val_100_ytd,profit_100_ytd,val_1000_ytd,profit_1000_ytd,val_10000_ytd,profit_10000_ytd,pct_1y,val_100_1y,profit_100_1y,val_1000_1y,profit_1000_1y,val_10000_1y,profit_10000_1y,news1_title,news1_publisher,news1_date,news1_sentiment,news2_title,news2_publisher,news2_date,news2_sentiment,news3_title,news3_publisher,news3_date,news3_sentiment,signal_rank,signal,signal_confidence,signal_rationale,signal_drivers,portfolio_held,portfolio_quantity,portfolio_avg_price,portfolio_ppl,portfolio_total_value
SNDK,SanDisk Corporation,AI,memory,NASDAQ,1745.0,-13.37%,-25.27%,-4.72%,+533.99%,+3759%,258.416,,59.52,13.65,17346200,67975100,252528800,,11.5,buy,1.59,-13.37,86.63,-13.37,866.3,-133.7,8663.0,-1337.0,-25.27,74.73,-25.27,747.3,-252.7,7473.0,-2527.0,-4.72,95.28,-4.72,952.8,-47.2,9528.0,-472.0,533.99,633.99,533.99,6339.9,5339.9,63399.0,53399.0,3759.0,3859.0,3759.0,38590.0,37590.0,385900.0,375900.0,Sandisk Stock Was the Biggest Winner in the First Half of 2026. What's Next for the Second Half?,Motley Fool,2026-07-04,0.586,"Dow Jones Futures: Techs' Rise Signal AI Trend Isn't Over; Apple, Robinhood Flash Buy Signals",Investor's Business Daily,2026-07-04,0.0,Prediction: This Will Be the Next Supercycle After AI Memory. 1 Stock to Buy Now Before It Surges 300%.,Motley Fool,2026-07-04,0.0,,,,,,,,,,
WDC,Western Digital,AI,memory,NASDAQ,539.0,-9.53%,-20.19%,-9.25%,+187.37%,+726%,185.784,2.166,32.26,8.37,8925700,60810500,221669700,11.0,8.66,strong_buy,1.5,-9.53,90.47,-9.53,904.7,-95.3,9047.0,-953.0,-20.19,79.81,-20.19,798.1,-201.9,7981.0,-2019.0,-9.25,90.75,-9.25,907.5,-92.5,9075.0,-925.0,187.37,287.37,187.37,2873.7,1873.7,28737.0,18737.0,726.0,826.0,726.0,8260.0,7260.0,82600.0,72600.0,Western Digital (WDC) Stock Falls As Apple CXMT Talk Adds Memory Pressure,Simply Wall St.,2026-07-03,-0.296,"Sandisk Stock Is Up More Than 6,000% Since Spinning Off From Western Digital. Is a Stock Split on the Horizon?",Motley Fool,2026-07-03,0.0,The Toughest Questions MU Faced On Its Latest Call,Trefis,2026-07-03,-0.077,,,,,,,,,,
285A,Kioxia Holdings,AI,memory,TSE,516.16,+9.82%,-9.63%,+6.69%,+633.92%,+3286%,282.465,,82.64,36.64,56815500,212005600,888645300,,,buy,1.62,9.82,109.82,9.82,1098.2,98.2,10982.0,982.0,-9.63,90.37,-9.63,903.7,-96.3,9037.0,-963.0,6.69,106.69,6.69,1066.9,66.9,10669.0,669.0,633.92,733.92,633.92,7339.2,6339.2,73392.0,63392.0,3286.0,3386.0,3286.0,33860.0,32860.0,338600.0,328600.0,Kioxia Shares Jump 9.2% As AI Storage Push Accelerates,GuruFocus.com,2026-07-03,0.296,European Chip Stocks Rebound After Thursday Selloff,The Wall Street Journal,2026-07-03,0.0,BlueBay Sees Near-Term Risk in Japan AI Stocks Followed by Rally,Bloomberg,2026-06-28,-0.273,4,strong_buy,1.0,"+633.9% YTD, +6.7% 1M, +9.8% 1D on AI storage push, analyst buy, but high P/E 82.6.",+633.9% YTD; +9.8% 1D gain; AI storage push; buy analyst consensus,,,,,
MU,Micron Technology,AI,memory,NASDAQ,975.56,-4.37%,-19.61%,-9.63%,+209.42%,+714%,1101.79,2.142,22.08,51.31,61316900,301897000,1223601800,5.0,3.69,strong_buy,1.42,-4.37,95.63,-4.37,956.3,-43.7,9563.0,-437.0,-19.61,80.39,-19.61,803.9,-196.1,8039.0,-1961.0,-9.63,90.37,-9.63,903.7,-96.3,9037.0,-963.0,209.42,309.42,209.42,3094.2,2094.2,30942.0,20942.0,714.0,814.0,714.0,8140.0,7140.0,81400.0,71400.0,The Artificial Intelligence (AI) Memory Supercycle Is Getting Stronger. Here's How You Can Profit From This Boom With Less Than $100,Motley Fool,2026-07-04,0.823,Why Did General Motors (GM) Just Partner With Micron?,Insider Monkey,2026-07-04,0.0,"Prediction: Micron Technology Stock Will Hit at Least $2,000 in 1 Year",Motley Fool,2026-07-04,0.0,9,strong_buy,0.841,"+209.4% YTD, strong_buy consensus, P/E 22.1, news sentiment 0.37, benefiting from memory supercycle.",+209.4% YTD; P/E 22.1 attractive; strong_buy consensus; memory supercycle,,,,,
STX,Seagate Technology,AI,memory,NASDAQ,820.16,-10.46%,-20.01%,-12.75%,+185.93%,+453%,185.563,2.067,77.52,4.35,6294100,28784300,99340500,36.0,4.27,buy,1.52,-10.46,89.54,-10.46,895.4,-104.6,8954.0,-1046.0,-20.01,79.99,-20.01,799.9,-200.1,7999.0,-2001.0,-12.75,87.25,-12.75,872.5,-127.5,8725.0,-1275.0,185.93,285.93,185.93,2859.3,1859.3,28593.0,18593.0,453.0,553.0,453.0,5530.0,4530.0,55300.0,45300.0,Seagate (STX) Stock Falls As AI Storage Oversupply Fears Rattle Sentiment,Simply Wall St.,2026-07-03,-0.421,"AI Memory and Storage Glut Fears Loom as SanDisk, Micron, Seagate All Plunge",BeInCrypto,2026-07-03,-0.572,"Seagate, Kulicke and Soffa, and Lam Research Shares Plummet, What You Need To Know",StockStory,2026-07-03,0.296,,,,,,,,,,
MRVL,Marvell Technology,AI,memory,NASDAQ,245.29,-9.38%,-12.79%,-18.68%,+174.74%,+243%,214.579,2.197,84.0,42.83,38435900,183514100,1398970500,10.0,5.26,strong_buy,1.43,-9.38,90.62,-9.38,906.2,-93.8,9062.0,-938.0,-12.79,87.21,-12.79,872.1,-127.9,8721.0,-1279.0,-18.68,81.32,-18.68,813.2,-186.8,8132.0,-1868.0,174.74,274.74,174.74,2747.4,1747.4,27474.0,17474.0,243.0,343.0,243.0,3430.0,2430.0,34300.0,24300.0,Cantor Fitzgerald Raises PT on Marvell Technology (MRVL) Stock,Insider Monkey,2026-07-04,0.0,Jim Cramer’s Thoughts on Marvell (MRVL) and Why It May Still Have A Lot More Upside,Insider Monkey,2026-07-03,0.0,How are Active Electrical Cables Driving Credo's Growth?,Zacks,2026-07-03,0.649,,,,,,,,,,
P,Everpure,AI,memory,NYSE,72.71,-5.20%,+1.42%,-10.06%,+5.36%,+30%,24.169,1.447,110.17,3.38,2131100,17047600,70551700,,3.95,buy,1.9,-5.2,94.8,-5.2,948.0,-52.0,9480.0,-520.0,1.42,101.42,1.42,1014.2,14.2,10142.0,142.0,-10.06,89.94,-10.06,899.4,-100.6,8994.0,-1006.0,5.36,105.36,5.36,1053.6,53.6,10536.0,536.0,30.0,130.0,30.0,1300.0,300.0,13000.0,3000.0,VVX vs. P: Which Stock Is the Better Value Option?,Zacks,2026-07-03,0.649,Everpure (P) Draws Jana Partners As New Activist Investor,Simply Wall St.,2026-07-02,0.0,Jana Partners' Strategic Moves: Fiserv Inc. Takes Center Stage with a 7.33% Portfolio Impact,GuruFocus.com,2026-06-30,0.0,,,,,,,,,,
RR.,Rolls-Royce Holdings,AI,nuclear-ops,LSE,20.08,+1.97%,+6.97%,+19.55%,+25.67%,+55%,1.665,1.203,21.8,33.39,10723720,101680557,645466374,63.0,,buy,1.6,1.97,101.97,1.97,1019.7,19.7,10197.0,197.0,6.97,106.97,6.97,1069.7,69.7,10697.0,697.0,19.55,119.55,19.55,1195.5,195.5,11955.0,1955.0,25.67,125.67,25.67,1256.7,256.7,12567.0,2567.0,55.0,155.0,55.0,1550.0,550.0,15500.0,5500.0,Rolls-Royce (LSE:RR.) Adds New Directors And Teams Up With Bombardier On Engine Monitoring,Simply Wall St.,2026-07-03,0.0,Rolls Royce (LSE:RR.) Stock Looks Like A Bargain On Earnings But Fully Priced On Broader Checks,Simply Wall St.,2026-07-03,0.285,How to take advantage of Labour’s £15bn defence drive,The Telegraph,2026-07-03,0.34,2,buy,0.8,"+25.7% YTD, +19.6% 1M, P/E 21.8, low beta 1.2, positive news sentiment 0.26, and strong 1M momentum.",+19.6% 1M momentum; P/E 21.8 attractive; low beta 1.2; positive news sentiment,,,,,
CEG,Constellation Energy,AI,nuclear-ops,NASDAQ,239.25,+1.23%,-10.96%,-10.47%,-34.49%,-25%,85.437,1.121,20.79,3.64,4271000,25022600,87082700,71.0,3.56,buy,1.52,1.23,101.23,1.23,1012.3,12.3,10123.0,123.0,-10.96,89.04,-10.96,890.4,-109.6,8904.0,-1096.0,-10.47,89.53,-10.47,895.3,-104.7,8953.0,-1047.0,-34.49,65.51,-34.49,655.1,-344.9,6551.0,-3449.0,-25.0,75.0,-25.0,750.0,-250.0,7500.0,-2500.0,Stock Market Week Ahead: Oil Hints At A Paradigm Shift,Investor's Business Daily,2026-07-04,0.0,Constellation Energy Corporation (CEG) Stock Moves 1.16%: What You Should Know,Zacks,2026-07-02,0.273,Energy Transition Today - Driving Grid Stability With Vehicle-To-Grid Innovation,Simply Wall St.,2026-07-02,0.572,,,,,,,,,,
VST,Vistra Corp,AI,nuclear-ops,NYSE,151.05,-1.33%,-9.97%,-1.65%,-8.33%,-22%,50.931,1.409,25.26,4.65,4255900,21830200,92687700,61.0,5.27,strong_buy,1.4,-1.33,98.67,-1.33,986.7,-13.3,9867.0,-133.0,-9.97,90.03,-9.97,900.3,-99.7,9003.0,-997.0,-1.65,98.35,-1.65,983.5,-16.5,9835.0,-165.0,-8.33,91.67,-8.33,916.7,-83.3,9167.0,-833.0,-22.0,78.0,-22.0,780.0,-220.0,7800.0,-2200.0,Here is What Analysts Think About Vistra Corp. (VST),Insider Monkey,2026-07-02,0.0,Vistra Corp. (VST) Stock Slides as Market Rises: Facts to Know Before You Trade,Zacks,2026-06-30,0.0,Nuclear Power Is the Only Real Answer to AI Data Center Demand and These 3 ETFs Cover the Trade at Three Risk Levels,24/7 Wall St.,2026-06-30,-0.382,,,,,,,,,,
