ticker,company_name,sector,category,exchange,price_usd,change_1d,change_1w,change_1m,change_ytd,return_1yr,market_cap_gbp_b,beta,pe_ratio,avg_volume_m,vol_1d,vol_1w,vol_1m,div_yield_pct,short_pct,analyst,analyst_score,pct_1d,val_100_1d,profit_100_1d,val_1000_1d,profit_1000_1d,val_10000_1d,profit_10000_1d,pct_1w,val_100_1w,profit_100_1w,val_1000_1w,profit_1000_1w,val_10000_1w,profit_10000_1w,pct_1m,val_100_1m,profit_100_1m,val_1000_1m,profit_1000_1m,val_10000_1m,profit_10000_1m,pct_ytd,val_100_ytd,profit_100_ytd,val_1000_ytd,profit_1000_ytd,val_10000_ytd,profit_10000_ytd,pct_1y,val_100_1y,profit_100_1y,val_1000_1y,profit_1000_1y,val_10000_1y,profit_10000_1y,news1_title,news1_publisher,news1_date,news1_sentiment,news2_title,news2_publisher,news2_date,news2_sentiment,news3_title,news3_publisher,news3_date,news3_sentiment,signal_rank,signal,signal_confidence,signal_rationale,signal_drivers,portfolio_held,portfolio_quantity,portfolio_avg_price,portfolio_ppl,portfolio_total_value
ETH,Ethereum,Crypto,layer1,Crypto,1792.312489,+4.34%,+5.88%,-17.82%,-39.59%,-40%,161.3,,,11300.64,7779768457,79104481963,438036080775,,,,,4.34,104.34,4.34,1043.4,43.4,10434.0,434.0,5.88,105.88,5.88,1058.8,58.8,10588.0,588.0,-17.82,82.18,-17.82,821.8,-178.2,8218.0,-1782.0,-39.59,60.41,-39.59,604.1,-395.9,6041.0,-3959.0,-40.0,60.0,-40.0,600.0,-400.0,6000.0,-4000.0,Bitcoin tops $66K after Middle East peace pact sparks rally,Yahoo Finance Video,2026-06-15,0.778,"Bitcoin and ethereum prices today, Monday, June 15, 2026: Prices rising after U.S., Iran agree to ceasefire deal",Yahoo Personal Finance,2026-06-15,0.361,Kraken Launches Regulated Crypto Perps for US Traders,CoinMarketCap,2026-06-15,0.0,,,,,,,,,,
SOL,Solana,Crypto,layer1,Crypto,73.741514,+5.12%,+9.96%,-14.85%,-40.78%,-41%,31.891,,,2632.42,1779899330,18426959429,87314859018,,,,,5.12,105.12,5.12,1051.2,51.2,10512.0,512.0,9.96,109.96,9.96,1099.6,99.6,10996.0,996.0,-14.85,85.15,-14.85,851.5,-148.5,8515.0,-1485.0,-40.78,59.22,-40.78,592.2,-407.8,5922.0,-4078.0,-41.0,59.0,-41.0,590.0,-410.0,5900.0,-4100.0,Bitcoin Climbs to Two-Week High After US-Iran Hormuz Deal,Bloomberg,2026-06-15,0.0,"Top Cryptocurrencies Rise; Bitcoin Tops $66,000",MT Newswires,2026-06-15,0.625,Bitcoin Holds Highs as Geopolitical Fear Eases,GuruFocus.com,2026-06-15,-0.226,,,,,,,,,,
BNB,BNB,Crypto,layer1,Crypto,616.455273,+0.67%,+1.81%,-6.15%,-28.58%,-29%,61.96,,,663.92,686174191,4647445612,32643829059,,,,,0.67,100.67,0.67,1006.7,6.7,10067.0,67.0,1.81,101.81,1.81,1018.1,18.1,10181.0,181.0,-6.15,93.85,-6.15,938.5,-61.5,9385.0,-615.0,-28.58,71.42,-28.58,714.2,-285.8,7142.0,-2858.0,-29.0,71.0,-29.0,710.0,-290.0,7100.0,-2900.0,"Top Cryptocurrencies Rise; Bitcoin Tops $66,000",MT Newswires,2026-06-15,0.625,Hyperliquid Emerges As 'Superior' Alternative After SpaceX IPO Lockup Chaos,Stocktwits,2026-06-13,-0.052,SIREN Token Crashes 75% as Whale Triggers a Massive Sell-Off,BeInCrypto,2026-06-13,0.0,,,,,,,,,,
ADA,Cardano,Crypto,layer1,Crypto,0.177569,+1.16%,+3.60%,-30.37%,-46.62%,-47%,4.816,,,455.88,403869705,3191144132,13961408388,,,,,1.16,101.16,1.16,1011.6,11.6,10116.0,116.0,3.6,103.6,3.6,1036.0,36.0,10360.0,360.0,-30.37,69.63,-30.37,696.3,-303.7,6963.0,-3037.0,-46.62,53.38,-46.62,533.8,-466.2,5338.0,-4662.0,-47.0,53.0,-47.0,530.0,-470.0,5300.0,-4700.0,"Top Cryptocurrencies Rise; Bitcoin Tops $66,000",MT Newswires,2026-06-15,0.625,Charles Hoskinson Stands On $70M BTC Payment From 2016 Manx Entity: Critics Want the Paper Trail,Cryptonews,2026-06-15,-0.226,Bitcoin Rebounds to Near $66K as US–Iran Peace Deal Sparks Risk-On Rally,Coinspeaker,2026-06-15,0.542,,,,,,,,,,
AVAX,Avalanche,Crypto,layer1,Crypto,6.817885,+1.55%,+0.46%,-26.71%,-44.61%,-45%,2.195,,,176.88,152817020,1238184704,6022013590,,,,,1.55,101.55,1.55,1015.5,15.5,10155.0,155.0,0.46,100.46,0.46,1004.6,4.6,10046.0,46.0,-26.71,73.29,-26.71,732.9,-267.1,7329.0,-2671.0,-44.61,55.39,-44.61,553.9,-446.1,5539.0,-4461.0,-45.0,55.0,-45.0,550.0,-450.0,5500.0,-4500.0,Is Avalanche About to Have Its Biggest Year Yet?,Motley Fool,2026-06-15,0.0,AVAX Price Prediction: Treasury Stock Tumbles 38% on Nasdaq Debut as Crypto Proxy Trade Unravels,Cryptonews,2026-06-12,0.202,AVAT Debut Brings Avalanche Treasury Strategy to Nasdaq,CryptoProwl,2026-06-11,0.202,,,,,,,,,,
XRP,XRP,Crypto,payments,Crypto,1.240299,+5.81%,+5.42%,-12.31%,-32.57%,-33%,57.394,,,1686.27,1315168824,11803873014,57259881500,,,,,5.81,105.81,5.81,1058.1,58.1,10581.0,581.0,5.42,105.42,5.42,1054.2,54.2,10542.0,542.0,-12.31,87.69,-12.31,876.9,-123.1,8769.0,-1231.0,-32.57,67.43,-32.57,674.3,-325.7,6743.0,-3257.0,-33.0,67.0,-33.0,670.0,-330.0,6700.0,-3300.0,"Iran-US peace deal sends Bitcoin, XRP surging",TheStreet,2026-06-15,0.542,Bitcoin Climbs to Two-Week High After US-Iran Hormuz Deal,Bloomberg,2026-06-15,0.0,"Top Cryptocurrencies Rise; Bitcoin Tops $66,000",MT Newswires,2026-06-15,0.625,,,,,,,,,,
XLM,Stellar,Crypto,payments,Crypto,0.215928,+15.68%,+5.58%,+42.09%,+7.62%,+8%,5.439,,,281.2,171837943,1968405124,16624342101,,,,,15.68,115.68,15.68,1156.8,156.8,11568.0,1568.0,5.58,105.58,5.58,1055.8,55.8,10558.0,558.0,42.09,142.09,42.09,1420.9,420.9,14209.0,4209.0,7.62,107.62,7.62,1076.2,76.2,10762.0,762.0,8.0,108.0,8.0,1080.0,80.0,10800.0,800.0,,,,,,,,,,,,,8,buy,0.7,"XLM is up +24.77% over the last month despite a -5.03% weekly pullback, and is nearly flat YTD at -5.38%, with a market cap of £4.77B GBP. Its payment/settlement use case and relative strength versus XRP make it a recovery play if broader market sentiment improves.",+24.77% 1M return; Market cap £4.77B GBP; Stable YTD performance; Payments infrastructure,,,,,
TRX,TRON,Crypto,payments,Crypto,0.319312,-0.08%,-2.39%,-10.07%,+12.29%,+12%,22.581,,,504.37,474910292,3530598529,17379707493,,,,,-0.08,99.92,-0.08,999.2,-0.8,9992.0,-8.0,-2.39,97.61,-2.39,976.1,-23.9,9761.0,-239.0,-10.07,89.93,-10.07,899.3,-100.7,8993.0,-1007.0,12.29,112.29,12.29,1122.9,122.9,11229.0,1229.0,12.0,112.0,12.0,1120.0,120.0,11200.0,1200.0,Tron Shows 3 Bullish Signals While Topping Weekly Loser List,BeInCrypto,2026-06-13,-0.527,Monero Jumps 27% in a Suspected $120 Million Laundering Run: Too Loud to Hide?,BeInCrypto,2026-06-12,-0.382,Tron’s TRX is Just Down 25% From All-Time High as Bitcoin Bleeds,BeInCrypto,2026-06-10,0.0,,,,,,,,,,
SUI,Sui,Crypto,emerging,Crypto,0.790315,+1.12%,+4.17%,-25.72%,-43.65%,-44%,2.375,,,370.7,310472024,2594922297,17326193229,,,,,1.12,101.12,1.12,1011.2,11.2,10112.0,112.0,4.17,104.17,4.17,1041.7,41.7,10417.0,417.0,-25.72,74.28,-25.72,742.8,-257.2,7428.0,-2572.0,-43.65,56.35,-43.65,563.5,-436.5,5635.0,-4365.0,-44.0,56.0,-44.0,560.0,-440.0,5600.0,-4400.0,4 AI Models Reveal SOL Price Predictions for 2026 — One Calls for a Massive Surge,CCN,2026-06-14,0.0,,,,,,,,,,,,,,,,,,
HBAR,Hedera,Crypto,emerging,Crypto,0.082215,+2.98%,+0.65%,-9.92%,-22.58%,-23%,2.665,,,57.6,62353566,403169180,2949800615,,,,,2.98,102.98,2.98,1029.8,29.8,10298.0,298.0,0.65,100.65,0.65,1006.5,6.5,10065.0,65.0,-9.92,90.08,-9.92,900.8,-99.2,9008.0,-992.0,-22.58,77.42,-22.58,774.2,-225.8,7742.0,-2258.0,-23.0,77.0,-23.0,770.0,-230.0,7700.0,-2300.0,,,,,,,,,,,,,,,,,,,,,,
