ticker,company_name,sector,category,exchange,price_usd,change_1d,change_1w,change_1m,change_ytd,return_1yr,market_cap_usd_b,beta,pe_ratio,avg_volume_m,vol_1d,vol_1w,vol_1m,div_yield_pct,short_pct,analyst,analyst_score,pct_1d,val_100_1d,profit_100_1d,val_1000_1d,profit_1000_1d,val_10000_1d,profit_10000_1d,pct_1w,val_100_1w,profit_100_1w,val_1000_1w,profit_1000_1w,val_10000_1w,profit_10000_1w,pct_1m,val_100_1m,profit_100_1m,val_1000_1m,profit_1000_1m,val_10000_1m,profit_10000_1m,pct_ytd,val_100_ytd,profit_100_ytd,val_1000_ytd,profit_1000_ytd,val_10000_ytd,profit_10000_ytd,pct_1y,val_100_1y,profit_100_1y,val_1000_1y,profit_1000_1y,val_10000_1y,profit_10000_1y,news1_title,news1_publisher,news1_date,news1_sentiment,news2_title,news2_publisher,news2_date,news2_sentiment,news3_title,news3_publisher,news3_date,news3_sentiment,signal_rank,signal,signal_confidence,signal_rationale,signal_drivers,portfolio_held,portfolio_quantity,portfolio_avg_price,portfolio_ppl,portfolio_total_value
SNDK,SanDisk Corporation,AI,memory,NASDAQ,1212.21,-4.92%,-0.22%,-29.82%,+340.42%,+2805%,176.983,,16.44,13.54,13568672,78544772,377064572,,8.28,buy,1.61,-4.92,95.08,-4.92,950.8,-49.2,9508.0,-492.0,-0.22,99.78,-0.22,997.8,-2.2,9978.0,-22.0,-29.82,70.18,-29.82,701.8,-298.2,7018.0,-2982.0,340.42,440.42,340.42,4404.2,3404.2,44042.0,34042.0,2805.0,2905.0,2805.0,29050.0,28050.0,290500.0,280500.0,What the vicious Sandisk bears are forgetting,Yahoo Finance,2026-08-07,-0.361,Micron Stock Falls After Citi Slashes Price Target on Memory Risks,GuruFocus.com,2026-08-07,-0.44,"Stock Market Rally Powers Ahead; SpaceX, Palantir, Sandisk Are Key Earnings Movers: Weekly Review",Investor's Business Daily,2026-08-07,0.0,,,,,,,,,,
WDC,Western Digital,AI,memory,NASDAQ,434.3,-5.02%,-20.29%,-21.08%,+131.55%,+603%,149.695,2.217,17.88,8.31,11550885,53460685,184942285,13.0,7.61,buy,1.58,-5.02,94.98,-5.02,949.8,-50.2,9498.0,-502.0,-20.29,79.71,-20.29,797.1,-202.9,7971.0,-2029.0,-21.08,78.92,-21.08,789.2,-210.8,7892.0,-2108.0,131.55,231.55,131.55,2315.5,1315.5,23155.0,13155.0,603.0,703.0,603.0,7030.0,6030.0,70300.0,60300.0,Tech Stocks Shake Off Another Memory Stock Slide,Barrons.com,2026-08-07,-0.178,Can MU Stock Compound Its Way Higher?,Trefis,2026-08-07,0.0,"US Jobs Report in Focus as Middle East Tensions and Corporate News Shape Markets: Dow Jones, S&P, Nasdaq, Wall Street Futures",InvestorsHub,2026-08-07,-0.402,,,,,,,,,,
285A,Kioxia Holdings,AI,memory,TSE,302.52,-2.15%,+2.65%,-34.07%,+320.53%,+2103%,165.549,,47.31,41.55,52912400,256388700,1114914300,,,buy,1.56,-2.15,97.85,-2.15,978.5,-21.5,9785.0,-215.0,2.65,102.65,2.65,1026.5,26.5,10265.0,265.0,-34.07,65.93,-34.07,659.3,-340.7,6593.0,-3407.0,320.53,420.53,320.53,4205.3,3205.3,42053.0,32053.0,2103.0,2203.0,2103.0,22030.0,21030.0,220300.0,210300.0,Kioxia Beats Japan’s Next-Best Stock 4x Over. Success or Bust?,BeInCrypto,2026-08-06,0.572,Asia Hedge Funds Suffer Widespread Losses in July Market Rout,Bloomberg,2026-08-04,-0.735,"European Indexes Rise in Strong Open as AI, Defense Stocks Gain",The Wall Street Journal,2026-08-04,0.802,,,,,,,,,,
MU,Micron Technology,AI,memory,NASDAQ,877.57,-1.37%,+6.63%,-7.51%,+178.38%,+598%,991.122,2.213,19.83,53.49,33885278,184475378,1027300678,6.0,3.21,strong_buy,1.41,-1.37,98.63,-1.37,986.3,-13.7,9863.0,-137.0,6.63,106.63,6.63,1066.3,66.3,10663.0,663.0,-7.51,92.49,-7.51,924.9,-75.1,9249.0,-751.0,178.38,278.38,178.38,2783.8,1783.8,27838.0,17838.0,598.0,698.0,598.0,6980.0,5980.0,69800.0,59800.0,SK Hynix invests $38B in new plants amid AI memory shortages,Yahoo Finance Video,2026-08-07,-0.153,Citi Revamps Micron Target Target With A Twist,GuruFocus.com,2026-08-07,0.0,Micron Stock Falls After Citi Slashes Price Target on Memory Risks,GuruFocus.com,2026-08-07,-0.44,9,strong_buy,0.75,"MU has a strong_buy consensus, low P/E of 20.2, and positive news sentiment of 0.218, with a memory upcycle catalyst from the new HBF standard and analyst upgrades, despite flat 1M momentum.",strong_buy consensus; P/E 20.2; memory upcycle catalyst; news sentiment 0.218,,,,,
STX,Seagate Technology,AI,memory,NASDAQ,812.76,-5.93%,-5.07%,-5.50%,+183.35%,+452%,184.497,2.102,58.47,4.64,5891841,26046641,127818041,35.0,3.7,strong_buy,1.44,-5.93,94.07,-5.93,940.7,-59.3,9407.0,-593.0,-5.07,94.93,-5.07,949.3,-50.7,9493.0,-507.0,-5.5,94.5,-5.5,945.0,-55.0,9450.0,-550.0,183.35,283.35,183.35,2833.5,1833.5,28335.0,18335.0,452.0,552.0,452.0,5520.0,4520.0,55200.0,45200.0,Jim Cramer Didn’t Think Seagate Technology Holdings plc (NASDAQ:STX)’s Earnings Were Bad,Insider Monkey,2026-08-07,-0.542,"SK Hynix Drops 5% After Approving $38B in New Memory Fabs; Seagate Falls 7%, Micron Barely Dips",24/7 Wall St.,2026-08-07,0.0,Tech Stocks Shake Off Another Memory Stock Slide,Barrons.com,2026-08-07,-0.178,,,,,,,,,,
MRVL,Marvell Technology,AI,memory,NASDAQ,218.72,+2.83%,+16.61%,-5.58%,+145.04%,+151%,196.311,2.246,75.16,42.69,19380429,108008429,541143029,11.0,4.34,strong_buy,1.42,2.83,102.83,2.83,1028.3,28.3,10283.0,283.0,16.61,116.61,16.61,1166.1,166.1,11661.0,1661.0,-5.58,94.42,-5.58,944.2,-55.8,9442.0,-558.0,145.04,245.04,145.04,2450.4,1450.4,24504.0,14504.0,151.0,251.0,151.0,2510.0,1510.0,25100.0,15100.0,Beyond NVIDIA and GPUs: The Next AI & Quantum Winners Leading 2026,Zacks,2026-08-07,0.477,The Toughest Questions AMD Faced On Its Latest Call,Trefis,2026-08-07,-0.077,How To Earn 11% On NVDA Stock And Set A 30% Safety Net,Trefis,2026-08-07,0.421,,,,,,,,,,
P,Everpure,AI,memory,NYSE,90.05,+4.71%,+16.69%,+15.85%,+30.49%,+37%,29.934,1.414,136.44,3.38,1978824,12227124,53701224,,4.43,none,,4.71,104.71,4.71,1047.1,47.1,10471.0,471.0,16.69,116.69,16.69,1166.9,166.9,11669.0,1669.0,15.85,115.85,15.85,1158.5,158.5,11585.0,1585.0,30.49,130.49,30.49,1304.9,304.9,13049.0,3049.0,37.0,137.0,37.0,1370.0,370.0,13700.0,3700.0,VNT or P: Which Is the Better Value Stock Right Now?,Zacks,2026-08-07,0.649,"PureCycle Technologies, Inc. (PCT) Reports Q2 Loss, Misses Revenue Estimates",Zacks,2026-08-06,-0.494,Deluxe (DLX) Q2 Earnings and Revenues Beat Estimates,Zacks,2026-08-06,0.0,,,,,,,,,,
RR.,Rolls-Royce Holdings,AI,nuclear-ops,LSE,20.64,-0.22%,+4.24%,+5.68%,+27.83%,+41%,1.707,1.19,42.5,26.5,10778557,134746569,522890769,78.0,,buy,1.6,-0.22,99.78,-0.22,997.8,-2.2,9978.0,-22.0,4.24,104.24,4.24,1042.4,42.4,10424.0,424.0,5.68,105.68,5.68,1056.8,56.8,10568.0,568.0,27.83,127.83,27.83,1278.3,278.3,12783.0,2783.0,41.0,141.0,41.0,1410.0,410.0,14100.0,4100.0,Here's Why Rolls-Royce Holdings PLC (RYCEY) is a Great Momentum Stock to Buy,Zacks,2026-08-07,0.625,Hackers hijack Thérèse Coffey’s X account to promote crypto scam,The Telegraph,2026-08-07,-0.273,Are Aerospace Stocks Lagging  ATI INC (ATI) This Year?,Zacks,2026-08-03,-0.273,,,,,,,,,,
CEG,Constellation Energy,AI,nuclear-ops,NASDAQ,269.89,+2.82%,+2.72%,+10.38%,-26.10%,-18%,96.379,,26.36,3.72,2506453,16668853,64825653,65.0,3.33,buy,1.52,2.82,102.82,2.82,1028.2,28.2,10282.0,282.0,2.72,102.72,2.72,1027.2,27.2,10272.0,272.0,10.38,110.38,10.38,1103.8,103.8,11038.0,1038.0,-26.1,73.9,-26.1,739.0,-261.0,7390.0,-2610.0,-18.0,82.0,-18.0,820.0,-180.0,8200.0,-1800.0,"Constellation Signed 920 Megawatts of New Power Deals, Including a Walmart PPA. Here's What It Means for CEG Stock.",Motley Fool,2026-08-07,0.0,Constellation Energy Stock: Analyst Estimates & Ratings,Barchart,2026-08-07,0.273,CEG Q2 Earnings Call Focuses on Higher Guidance and Nuclear Deals,Zacks,2026-08-07,0.0,,,,,,,,,,
VST,Vistra Corp,AI,nuclear-ops,NYSE,140.59,-2.28%,-5.13%,-9.19%,-14.68%,-23%,47.404,1.433,23.51,4.7,7364955,34404555,109251155,65.0,4.32,strong_buy,1.35,-2.28,97.72,-2.28,977.2,-22.8,9772.0,-228.0,-5.13,94.87,-5.13,948.7,-51.3,9487.0,-513.0,-9.19,90.81,-9.19,908.1,-91.9,9081.0,-919.0,-14.68,85.32,-14.68,853.2,-146.8,8532.0,-1468.0,-23.0,77.0,-23.0,770.0,-230.0,7700.0,-2300.0,"Earnings live updates: The Trade Desk stock plummets on earnings miss, Oklo jumps on 'criticality' milestone",Yahoo Finance,2026-08-03,-0.153,Vistra Corp (VST) (Q2 2026) Earnings Call Highlights: Record EBITDA Surge and Strategic Helix ...,GuruFocus.com,2026-08-07,0.0,Sector Update: Energy Stocks Fall Late Afternoon,MT Newswires,2026-08-07,0.273,,,,,,,,,,
