ticker,company_name,sector,category,exchange,price_usd,change_1d,change_1w,change_1m,change_ytd,return_1yr,market_cap_usd_b,beta,pe_ratio,avg_volume_m,vol_1d,vol_1w,vol_1m,div_yield_pct,short_pct,analyst,analyst_score,pct_1d,val_100_1d,profit_100_1d,val_1000_1d,profit_1000_1d,val_10000_1d,profit_10000_1d,pct_1w,val_100_1w,profit_100_1w,val_1000_1w,profit_1000_1w,val_10000_1w,profit_10000_1w,pct_1m,val_100_1m,profit_100_1m,val_1000_1m,profit_1000_1m,val_10000_1m,profit_10000_1m,pct_ytd,val_100_ytd,profit_100_ytd,val_1000_ytd,profit_1000_ytd,val_10000_ytd,profit_10000_ytd,pct_1y,val_100_1y,profit_100_1y,val_1000_1y,profit_1000_1y,val_10000_1y,profit_10000_1y,news1_title,news1_publisher,news1_date,news1_sentiment,news2_title,news2_publisher,news2_date,news2_sentiment,news3_title,news3_publisher,news3_date,news3_sentiment,signal_rank,signal,signal_confidence,signal_rationale,signal_drivers,portfolio_held,portfolio_quantity,portfolio_avg_price,portfolio_ppl,portfolio_total_value
SNDK,SanDisk Corporation,AI,memory,NASDAQ,1568.87,-1.20%,+16.71%,+12.79%,+470.00%,+3562%,229.713,,21.26,13.82,15923446,95706446,389188846,,7.36,buy,1.54,-1.2,98.8,-1.2,988.0,-12.0,9880.0,-120.0,16.71,116.71,16.71,1167.1,167.1,11671.0,1671.0,12.79,112.79,12.79,1127.9,127.9,11279.0,1279.0,470.0,570.0,470.0,5700.0,4700.0,57000.0,47000.0,3562.0,3662.0,3562.0,36620.0,35620.0,366200.0,356200.0,15 S&P 500 stocks are up 100% or more this year — here's what they have in common,Yahoo Finance,2026-08-19,0.0,Why Is Sandisk Stock Still Dropping?,Motley Fool,2026-08-19,0.0,Will Agentic AI Adoption Expand Micron's Memory Growth Opportunity?,Zacks,2026-08-19,0.772,1,strong_buy,1.0,"Despite a -9.88% 1D dip, SNDK has +490.68% YTD, P/E 22.03, and a $93.9B NBM floor contract structure that removes cyclical risk; web search confirms the selloff is profit-taking with no memory-specific bad news and multiple analyst upgrades (JPMorgan $2,250 PT). [247wallst.com](https://247wallst.com/investing/2026/08/18/wsj-report-sends-memory-stocks-down-sandisk-down-9-micron-down-7-western-digital-down-5/) [techtimes.com](https://www.techtimes.com/articles/324722/20260817/sandisk-surges-lutnick-bars-apple-chinese-memory-nbm-locks-939b-floor.htm)",+490.68% YTD; P/E 22.03; $93.9B NBM floor; analyst upgrades,,,,,
WDC,Western Digital,AI,memory,NASDAQ,462.09,-5.70%,+1.76%,-5.20%,+146.37%,+556%,166.602,2.217,17.15,8.6,6716910,44107210,189566010,,8.05,buy,1.58,-5.7,94.3,-5.7,943.0,-57.0,9430.0,-570.0,1.76,101.76,1.76,1017.6,17.6,10176.0,176.0,-5.2,94.8,-5.2,948.0,-52.0,9480.0,-520.0,146.37,246.37,146.37,2463.7,1463.7,24637.0,14637.0,556.0,656.0,556.0,6560.0,5560.0,65600.0,55600.0,"SanDisk Is Up 3,911% Over Twelve Months. Hedge Funds Can’t Agree on What to Do.",24/7 Wall St.,2026-08-19,0.361,"Company News for Aug 19, 2026",Zacks,2026-08-19,0.0,2 Semiconductor Stocks Worth Your Attention and 1 We Brush Off,StockStory,2026-08-19,0.226,,,,,,,,,,
285A,Kioxia Holdings,AI,memory,TSE,315.86,-12.55%,+0.16%,-18.20%,+340.09%,+2324%,172.853,,49.38,42.85,48076900,239886300,1025416400,,,buy,1.56,-12.55,87.45,-12.55,874.5,-125.5,8745.0,-1255.0,0.16,100.16,0.16,1001.6,1.6,10016.0,16.0,-18.2,81.8,-18.2,818.0,-182.0,8180.0,-1820.0,340.09,440.09,340.09,4400.9,3400.9,44009.0,34009.0,2324.0,2424.0,2324.0,24240.0,23240.0,242400.0,232400.0,Micron Gained Memory Market Share. The Stock Is Dropping Anyway.,Barrons.com,2026-08-19,0.586,Has Kioxia Holdings (TSE:285A) Run Too Far Ahead Of Its Fundamentals As Chip Stocks Sell Off?,Simply Wall St.,2026-08-19,0.0,Nikkei Falls to Two-Week Low on Risk-Off Sentiment,Barrons.com,2026-08-19,-0.273,,,,,,,,,,
MU,Micron Technology,AI,memory,NASDAQ,937.1,+0.53%,+2.83%,+8.28%,+197.27%,+703%,,2.213,21.19,49.2,25693662,161015962,935988962,,2.65,strong_buy,1.41,0.53,100.53,0.53,1005.3,5.3,10053.0,53.0,2.83,102.83,2.83,1028.3,28.3,10283.0,283.0,8.28,108.28,8.28,1082.8,82.8,10828.0,828.0,197.27,297.27,197.27,2972.7,1972.7,29727.0,19727.0,703.0,803.0,703.0,8030.0,7030.0,80300.0,70300.0,This Billionaire Tech Investor Is Betting Big on SpaceX and Chip Stocks,Motley Fool,2026-08-19,0.0,Intel Stock Charges A Premium For Capacity Still Being Built,Trefis,2026-08-19,-0.273,"Moderna, Merck, Micron, Marvell, Estée Lauder, Honeywell Aerospace, and More Stocks That Explain Today’s Market",Barrons.com,2026-08-19,0.0,,,,,,,,,,
STX,Seagate Technology,AI,memory,NASDAQ,832.56,-6.85%,-5.20%,+3.75%,+190.26%,+471%,188.695,2.102,59.81,4.75,5800434,24571834,125029934,33.0,4.06,strong_buy,1.44,-6.85,93.15,-6.85,931.5,-68.5,9315.0,-685.0,-5.2,94.8,-5.2,948.0,-52.0,9480.0,-520.0,3.75,103.75,3.75,1037.5,37.5,10375.0,375.0,190.26,290.26,190.26,2902.6,1902.6,29026.0,19026.0,471.0,571.0,471.0,5710.0,4710.0,57100.0,47100.0,C3.ai vs. Seagate Technology: Which Technology Stock Is a Better Buy in 2026?,Motley Fool,2026-08-19,0.44,"MU, SNDK Dip Overnight: KOSPI Hits Halt Amid Asian Tech Chip Rout, SoftBank, Samsung, SK Hynix Retreat",Stocktwits,2026-08-19,0.202,"MACOM, Seagate, and Entegris Stocks Trade Down, What You Need To Know",StockStory,2026-08-18,0.0,,,,,,,,,,
MRVL,Marvell Technology,AI,memory,NASDAQ,237.27,+11.06%,+9.30%,+21.71%,+165.82%,+203%,212.961,2.246,81.26,41.04,38461589,119179089,522526289,11.0,4.79,strong_buy,1.42,11.06,111.06,11.06,1110.6,110.6,11106.0,1106.0,9.3,109.3,9.3,1093.0,93.0,10930.0,930.0,21.71,121.71,21.71,1217.1,217.1,12171.0,2171.0,165.82,265.82,165.82,2658.2,1658.2,26582.0,16582.0,203.0,303.0,203.0,3030.0,2030.0,30300.0,20300.0,"Marvell Stock Jumps On Google Deal, Broadcom Slides",Investor's Business Daily,2026-08-19,0.0,Sector Update: Tech Stocks Fall Late Afternoon,MT Newswires,2026-08-19,0.0,Marvell Stock Rises 10% on Google Warrant Deal,GuruFocus.com,2026-08-19,0.0,,,,,,,,,,
P,Everpure,AI,memory,NYSE,112.0,-3.46%,+0.54%,+60.16%,+62.30%,+111%,,1.414,169.7,3.33,2924765,16658265,65059265,,4.25,buy,1.65,-3.46,96.54,-3.46,965.4,-34.6,9654.0,-346.0,0.54,100.54,0.54,1005.4,5.4,10054.0,54.0,60.16,160.16,60.16,1601.6,601.6,16016.0,6016.0,62.3,162.3,62.3,1623.0,623.0,16230.0,6230.0,111.0,211.0,111.0,2110.0,1110.0,21100.0,11100.0,Full Truck Alliance Co. Ltd. Sponsored ADR (YMM) Q2 Earnings and Revenues Top Estimates,Zacks,2026-08-19,0.202,"Everpure Stock Hits Record High – TD Cowen Says Oracle Could Be Its New Hyperscale Customer, Sees Meta Revenue Growth Ahead",Stocktwits,2026-08-18,0.382,1 Surging  Stock Worth Your Attention and 2 We Brush Off,StockStory,2026-08-16,0.226,,,,,,,,,,
RR.,Rolls-Royce Holdings,AI,nuclear-ops,LSE,20.67,-1.20%,-1.72%,+11.89%,+26.94%,+50%,1.708,1.19,42.21,25.39,18201115,82900281,556245404,78.0,,buy,1.6,-1.2,98.8,-1.2,988.0,-12.0,9880.0,-120.0,-1.72,98.28,-1.72,982.8,-17.2,9828.0,-172.0,11.89,111.89,11.89,1118.9,118.9,11189.0,1189.0,26.94,126.94,26.94,1269.4,269.4,12694.0,2694.0,50.0,150.0,50.0,1500.0,500.0,15000.0,5000.0,Rolls-Royce Stock Hits First New High In 14 Years. Firm Announces Engine Project.,Investor's Business Daily,2026-08-17,0.0,Is Rolls-Royce Holdings (LSE:RR.) Fully Priced After Profit Upgrades?,Simply Wall St.,2026-08-08,0.488,"Is Rolls-Royce Holdings (LSE:RR.) Fully Valued After Buybacks, Half Year Results And A Dividend Increase?",Simply Wall St.,2026-08-08,0.67,,,,,,,,,,
CEG,Constellation Energy,AI,nuclear-ops,NASDAQ,274.17,+2.24%,-1.47%,+8.32%,-24.81%,-15%,97.141,1.118,26.83,3.5,2160834,12398334,64043334,64.0,3.29,buy,1.55,2.24,102.24,2.24,1022.4,22.4,10224.0,224.0,-1.47,98.53,-1.47,985.3,-14.7,9853.0,-147.0,8.32,108.32,8.32,1083.2,83.2,10832.0,832.0,-24.81,75.19,-24.81,751.9,-248.1,7519.0,-2481.0,-15.0,85.0,-15.0,850.0,-150.0,8500.0,-1500.0,"Nuclear Stocks Plunge Tuesday: Oklo Down 5%, Constellation Energy Down 4%, NuScale Down 5%",24/7 Wall St.,2026-08-19,0.273,Uranium ETFs Just Crashed 30 Percent While AI Power Demand Keeps Breaking Records,24/7 Wall St.,2026-08-18,-0.128,KKR Makes $9 Billion Takeover Bid for Natural-Gas and Electricity Distributor,The Wall Street Journal,2026-08-18,0.0,,,,,,,,,,
VST,Vistra Corp,AI,nuclear-ops,NYSE,142.7,+1.09%,-2.71%,-9.68%,-13.40%,-27%,47.895,1.433,24.06,4.58,3705011,17933211,102772411,,2.99,strong_buy,1.37,1.09,101.09,1.09,1010.9,10.9,10109.0,109.0,-2.71,97.29,-2.71,972.9,-27.1,9729.0,-271.0,-9.68,90.32,-9.68,903.2,-96.8,9032.0,-968.0,-13.4,86.6,-13.4,866.0,-134.0,8660.0,-1340.0,-27.0,73.0,-27.0,730.0,-270.0,7300.0,-2700.0,Pennsylvania dangles permitting carrot for data centers that bring their own power,Utility Dive,2026-08-19,0.0,Vistra Is Under $150. Here's Why I Think It Won't Stay That Way.,Motley Fool,2026-08-17,0.0,Billionaire David Tepper Trimmed Micron and Sold out of SanDisk. Here’s the New AI Stocks He’s Buying,24/7 Wall St.,2026-08-17,0.0,,,,,,,,,,
