ticker,company_name,sector,category,exchange,price_usd,change_1d,change_1w,change_1m,change_ytd,return_1yr,market_cap_usd_b,beta,pe_ratio,avg_volume_m,vol_1d,vol_1w,vol_1m,div_yield_pct,short_pct,analyst,analyst_score,pct_1d,val_100_1d,profit_100_1d,val_1000_1d,profit_1000_1d,val_10000_1d,profit_10000_1d,pct_1w,val_100_1w,profit_100_1w,val_1000_1w,profit_1000_1w,val_10000_1w,profit_10000_1w,pct_1m,val_100_1m,profit_100_1m,val_1000_1m,profit_1000_1m,val_10000_1m,profit_10000_1m,pct_ytd,val_100_ytd,profit_100_ytd,val_1000_ytd,profit_1000_ytd,val_10000_ytd,profit_10000_ytd,pct_1y,val_100_1y,profit_100_1y,val_1000_1y,profit_1000_1y,val_10000_1y,profit_10000_1y,news1_title,news1_publisher,news1_date,news1_sentiment,news2_title,news2_publisher,news2_date,news2_sentiment,news3_title,news3_publisher,news3_date,news3_sentiment,signal_rank,signal,signal_confidence,signal_rationale,signal_drivers,portfolio_held,portfolio_quantity,portfolio_avg_price,portfolio_ppl,portfolio_total_value
SNDK,SanDisk Corporation,AI,memory,NASDAQ,1816.57,-4.33%,+19.51%,+21.66%,+559.99%,+1790%,265.98,,24.62,13.85,7672720,57311420,238397420,,6.43,buy,1.52,-4.33,95.67,-4.33,956.7,-43.3,9567.0,-433.0,19.51,119.51,19.51,1195.1,195.1,11951.0,1951.0,21.66,121.66,21.66,1216.6,216.6,12166.0,2166.0,559.99,659.99,559.99,6599.9,5599.9,65999.0,55999.0,1790.0,1890.0,1790.0,18900.0,17900.0,189000.0,179000.0,"Stock Market Today: Small Caps, Gold Miners Spanked Amid Sell-Off; Meta Makes A Bullish Move",Investor's Business Daily,2026-09-23,0.0,Chip Stocks Drop After Six-Day Climb For SOX Index,Investor's Business Daily,2026-09-23,-0.273,Is SanDisk Stock Amplifying A Risk You Already Own?,Trefis,2026-09-23,-0.273,1,strong_buy,1.0,"Up 585.6% YTD with 26.38% 1M momentum, P/E of 24, and a new Rosenblatt Buy initiation with $2,400 PT citing AI-driven NAND demand shift from commodity to critical infrastructure [cnbc.com].","+585.6% YTD; +26.38% 1M; P/E 23.9; Rosenblatt Buy initiation $2,400 PT",,,,,
WDC,Western Digital,AI,memory,NASDAQ,473.69,+1.94%,+13.60%,+8.83%,+152.63%,+324%,170.784,2.182,17.61,7.85,5011141,41728941,140903541,13.0,6.19,none,,1.94,101.94,1.94,1019.4,19.4,10194.0,194.0,13.6,113.6,13.6,1136.0,136.0,11360.0,1360.0,8.83,108.83,8.83,1088.3,88.3,10883.0,883.0,152.63,252.63,152.63,2526.3,1526.3,25263.0,15263.0,324.0,424.0,324.0,4240.0,3240.0,42400.0,32400.0,"Own ON Semiconductor For AI Power, Or Own Micron's Contracts?",Trefis,2026-09-23,0.0,Micron (MU) vs Western Digital (WDC): Which is a Better Stock to Buy,Insider Monkey,2026-09-23,0.44,Is SanDisk Stock Amplifying A Risk You Already Own?,Trefis,2026-09-23,-0.273,,,,,,,,,,
285A,Kioxia Holdings,AI,memory,TSE,344.81,+9.80%,+1.00%,-4.51%,+380.79%,+1002%,183.615,,54.05,40.79,34475500,144432300,788051600,,,buy,1.56,9.8,109.8,9.8,1098.0,98.0,10980.0,980.0,1.0,101.0,1.0,1010.0,10.0,10100.0,100.0,-4.51,95.49,-4.51,954.9,-45.1,9549.0,-451.0,380.79,480.79,380.79,4807.9,3807.9,48079.0,38079.0,1002.0,1102.0,1002.0,11020.0,10020.0,110200.0,100200.0,3 Japanese Quality Stocks With ROE Over 25%,Simply Wall St.,2026-09-23,0.0,"Watch Out SKHY, MU, SNDK: Japan’s Kioxia Reportedly Eyes $10B US Listing To Ride AI Memory Boom",Stocktwits,2026-09-15,0.0,"European Stocks Mixed, Chip Stocks Slide",The Wall Street Journal,2026-09-14,0.0,,,,,,,,,,
MU,Micron Technology,AI,memory,NASDAQ,1071.88,-2.35%,+15.69%,+17.73%,+240.02%,+578%,1210.574,2.222,24.21,38.19,21405071,136664271,553665171,5.0,2.64,strong_buy,1.35,-2.35,97.65,-2.35,976.5,-23.5,9765.0,-235.0,15.69,115.69,15.69,1156.9,156.9,11569.0,1569.0,17.73,117.73,17.73,1177.3,177.3,11773.0,1773.0,240.02,340.02,240.02,3400.2,2400.2,34002.0,24002.0,578.0,678.0,578.0,6780.0,5780.0,67800.0,57800.0,"AI magic sends markets higher, plus one-on-one with IBM vice chair",Yahoo Finance Video,2026-09-23,0.0,Earnings Outlook Remains Upbeat: A Closer Look,Zacks,2026-09-23,0.0,"Top Research Reports for Micron, Costco & Interactive Brokers",Zacks,2026-09-23,0.202,4,strong_buy,0.677,"Up 247.7% YTD, +20.4% 1M, P/E 23.6, strong_buy consensus, and positive read-through from Rosenblatt's bullish SNDK initiation and AI memory demand surge [247wallst.com].",+247.7% YTD; +20.4% 1M; strong_buy consensus; P/E 23.6,,,,,
STX,Seagate Technology,AI,memory,NASDAQ,923.86,+0.41%,+19.70%,+16.26%,+222.09%,+311%,210.079,2.087,66.51,4.69,3216535,23075035,76704535,32.0,4.27,none,,0.41,100.41,0.41,1004.1,4.1,10041.0,41.0,19.7,119.7,19.7,1197.0,197.0,11970.0,1970.0,16.26,116.26,16.26,1162.6,162.6,11626.0,1626.0,222.09,322.09,222.09,3220.9,2220.9,32209.0,22209.0,311.0,411.0,311.0,4110.0,3110.0,41100.0,31100.0,Is SanDisk Stock Amplifying A Risk You Already Own?,Trefis,2026-09-23,-0.273,The Clock Is Ticking on These 4 Dividend Stocks and Deadlines Are Just Days Away,24/7 Wall St.,2026-09-23,0.0,Billionaire Chase Coleman’s Top 2 New AI Stock Picks,Insider Monkey,2026-09-23,0.202,,,,,,,,,,
MRVL,Marvell Technology,AI,memory,NASDAQ,260.9,-0.95%,+13.58%,+13.79%,+192.30%,+228%,234.472,2.253,86.39,24.81,13589340,99587640,474165440,9.0,5.09,strong_buy,1.0,-0.95,99.05,-0.95,990.5,-9.5,9905.0,-95.0,13.58,113.58,13.58,1135.8,135.8,11358.0,1358.0,13.79,113.79,13.79,1137.9,137.9,11379.0,1379.0,192.3,292.3,192.3,2923.0,1923.0,29230.0,19230.0,228.0,328.0,228.0,3280.0,2280.0,32800.0,22800.0,Marvell and 2 More Stocks to Play the AI Data-Center Boom,Barrons.com,2026-09-23,0.395,Wall Street Picks 3 Chip Stock Winners for the AI Boom,GuruFocus.com,2026-09-23,0.477,"AMD Is Up 187% This Year: Take Profits, or Buy More?",24/7 Wall St.,2026-09-23,-0.296,,,,,,,,,,
P,Everpure,AI,memory,NYSE,109.65,-0.42%,+13.08%,+9.17%,+58.89%,+31%,36.539,1.434,150.21,4.16,3737368,90553868,141934068,,3.22,buy,1.55,-0.42,99.58,-0.42,995.8,-4.2,9958.0,-42.0,13.08,113.08,13.08,1130.8,130.8,11308.0,1308.0,9.17,109.17,9.17,1091.7,91.7,10917.0,917.0,58.89,158.89,58.89,1588.9,588.9,15889.0,5889.0,31.0,131.0,31.0,1310.0,310.0,13100.0,3100.0,Everpure (P) Dropped From Key Small Cap Indices As Fund Exposure Shifts,Simply Wall St.,2026-09-20,0.0,Why Everpure (P) Stock Is Up Today,StockStory,2026-09-17,0.0,3 Reasons P Has Explosive Upside Potential,StockStory,2026-09-17,0.0,,,,,,,,,,
RR.,Rolls-Royce Holdings,AI,nuclear-ops,LSE,19.91,+1.44%,+4.35%,+0.20%,+25.59%,+26%,1.639,1.188,41.76,19.76,8680269,97877176,343074184,81.0,,buy,1.6,1.44,101.44,1.44,1014.4,14.4,10144.0,144.0,4.35,104.35,4.35,1043.5,43.5,10435.0,435.0,0.2,100.2,0.2,1002.0,2.0,10020.0,20.0,25.59,125.59,25.59,1255.9,255.9,12559.0,2559.0,26.0,126.0,26.0,1260.0,260.0,12600.0,2600.0,Nuclear Energy Stocks Rally as Demand for Reliable Clean Power Grows,Zacks,2026-09-23,0.511,Rolls Royce Holdings And 2 Top Nuclear Energy Stocks,Simply Wall St.,2026-09-23,0.44,European Indexes Higher as Oil Falls Back,The Wall Street Journal,2026-09-17,0.0,,,,,,,,,,
CEG,Constellation Energy,AI,nuclear-ops,NASDAQ,263.88,-0.17%,+1.54%,-3.49%,-27.63%,-22%,93.495,1.117,25.82,2.98,2910969,19007669,60387869,65.0,3.65,buy,1.55,-0.17,99.83,-0.17,998.3,-1.7,9983.0,-17.0,1.54,101.54,1.54,1015.4,15.4,10154.0,154.0,-3.49,96.51,-3.49,965.1,-34.9,9651.0,-349.0,-27.63,72.37,-27.63,723.7,-276.3,7237.0,-2763.0,-22.0,78.0,-22.0,780.0,-220.0,7800.0,-2200.0,Top 3 Nuclear Power Stocks To Watch In September 2026,Simply Wall St.,2026-09-23,0.202,GE Vernova is The AI Energy Bottleneck Player I Won’t Stop Buying,24/7 Wall St.,2026-09-22,-0.026,Can Constellation Energy Reduce EFOF and Improve Fleet Performance?,Zacks,2026-09-22,0.612,,,,,,,,,,
VST,Vistra Corp,AI,nuclear-ops,NYSE,137.97,-2.39%,-1.56%,+1.87%,-16.13%,-31%,46.308,1.414,23.27,4.38,4263095,22761995,96869695,66.0,3.72,strong_buy,1.35,-2.39,97.61,-2.39,976.1,-23.9,9761.0,-239.0,-1.56,98.44,-1.56,984.4,-15.6,9844.0,-156.0,1.87,101.87,1.87,1018.7,18.7,10187.0,187.0,-16.13,83.87,-16.13,838.7,-161.3,8387.0,-1613.0,-31.0,69.0,-31.0,690.0,-310.0,6900.0,-3100.0,Vistra Corp. (VST) Sees a More Significant Dip Than Broader Market: Some Facts to Know,Zacks,2026-09-23,0.272,New Era Energy & Digital Is Up by More Than 60% This Month. Here's What's Fueling the Rally.,Motley Fool,2026-09-23,0.273,Can Constellation Energy Reduce EFOF and Improve Fleet Performance?,Zacks,2026-09-22,0.612,,,,,,,,,,
