ticker,company_name,sector,category,exchange,price_usd,change_1d,change_1w,change_1m,change_ytd,return_1yr,market_cap_gbp_b,beta,pe_ratio,avg_volume_m,div_yield_pct,short_pct,analyst,analyst_score,pct_1d,val_100_1d,profit_100_1d,val_1000_1d,profit_1000_1d,val_10000_1d,profit_10000_1d,pct_1w,val_100_1w,profit_100_1w,val_1000_1w,profit_1000_1w,val_10000_1w,profit_10000_1w,pct_1m,val_100_1m,profit_100_1m,val_1000_1m,profit_1000_1m,val_10000_1m,profit_10000_1m,pct_ytd,val_100_ytd,profit_100_ytd,val_1000_ytd,profit_1000_ytd,val_10000_ytd,profit_10000_ytd,pct_1y,val_100_1y,profit_100_1y,val_1000_1y,profit_1000_1y,val_10000_1y,profit_10000_1y,news1_title,news1_publisher,news1_date,news1_sentiment,news2_title,news2_publisher,news2_date,news2_sentiment,news3_title,news3_publisher,news3_date,news3_sentiment,signal_rank,signal,signal_confidence,signal_rationale,signal_drivers,portfolio_held,portfolio_quantity,portfolio_avg_price,portfolio_ppl,portfolio_total_value
SNDK,SanDisk Corporation,AI,memory,NASDAQ,1736.0,-1.17%,+9.21%,+38.23%,+530.72%,+4459%,190.931,,59.37,16.19,,9.63,buy,1.55,-1.17,98.83,-1.17,988.3,-11.7,9883.0,-117.0,9.21,109.21,9.21,1092.1,92.1,10921.0,921.0,38.23,138.23,38.23,1382.3,382.3,13823.0,3823.0,530.72,630.72,530.72,6307.2,5307.2,63072.0,53072.0,4459.0,4559.0,4459.0,45590.0,44590.0,455900.0,445900.0,3 Storage Devices Stocks to Buy as the Industry Gains Momentum,Zacks,2026-06-02,0.34,Is Sandisk Corporation (SNDK) One of the Top Undervalued Blue Chip Stocks Analysts Recommend for Smart Investing?,Insider Monkey,2026-06-02,0.718,Is Sandisk Corporation (SNDK) One of the Best Inexpensive Stocks to Invest in Right Now?,Insider Monkey,2026-06-02,0.637,9,buy,0.68,"SNDK has exceptional momentum (+37.86% 1M, +529.01% YTD) and buy consensus (1.55). News sentiment is positive at 0.296 and it is highlighted as one of the best inexpensive stocks to invest in.",+37.86% 1M momentum; +529.01% YTD; buy consensus (1.55); positive news sentiment 0.296,,,,,
WDC,Western Digital,AI,memory,NASDAQ,565.44,+2.90%,+7.77%,+27.82%,+201.39%,+916%,144.746,2.158,33.84,7.94,11.0,9.74,buy,1.52,2.9,102.9,2.9,1029.0,29.0,10290.0,290.0,7.77,107.77,7.77,1077.7,77.7,10777.0,777.0,27.82,127.82,27.82,1278.2,278.2,12782.0,2782.0,201.39,301.39,201.39,3013.9,2013.9,30139.0,20139.0,916.0,1016.0,916.0,10160.0,9160.0,101600.0,91600.0,3 Storage Devices Stocks to Buy as the Industry Gains Momentum,Zacks,2026-06-02,0.34,Why Sandisk Corporation Is My Favorite Stock Idea Right Now,24/7 Wall St.,2026-06-02,0.459,3 High Growth Tech Stocks To Watch In The US Market,Simply Wall St.,2026-06-02,0.382,,,,,,,,,,
285A,Kioxia Holdings,AI,memory,TSE,77540.0,+6.70%,+24.14%,+78.62%,+583.17%,+3558%,196.66,,76.94,35.49,,,buy,1.62,6.7,106.7,6.7,1067.0,67.0,10670.0,670.0,24.14,124.14,24.14,1241.4,241.4,12414.0,2414.0,78.62,178.62,78.62,1786.2,786.2,17862.0,7862.0,583.17,683.17,583.17,6831.7,5831.7,68317.0,58317.0,3558.0,3658.0,3558.0,36580.0,35580.0,365800.0,355800.0,SK Hynix Just Hit a $1 Trillion Market Cap. Here's How You Can Buy the Stock for Around $60.,Motley Fool,2026-05-30,0.0,Scorching runs for memory chip stocks like Micron and Sandisk have sent this new ETF soaring,Yahoo Finance,2026-05-26,0.361,Kioxia Holdings (TSE:285A) Is Up 29.1% After EPS Surge And Charter Change Talks - Has The Bull Case Changed?,Simply Wall St.,2026-05-23,0.0,3,buy,0.78,"285A shows explosive momentum with +78.62% 1M and +583.17% YTD, driven by SK Hynix's trillion-dollar market cap milestone. The P/E of 76.94 reflects high growth expectations.",+78.62% 1M momentum; +583.17% YTD; market cap milestone; memory sector leader,,,,,
MU,Micron Technology,AI,memory,NASDAQ,1045.08,+0.48%,+16.65%,+81.30%,+231.47%,+913%,875.302,1.919,49.23,48.07,6.0,3.13,strong_buy,1.48,0.48,100.48,0.48,1004.8,4.8,10048.0,48.0,16.65,116.65,16.65,1166.5,166.5,11665.0,1665.0,81.3,181.3,81.3,1813.0,813.0,18130.0,8130.0,231.47,331.47,231.47,3314.7,2314.7,33147.0,23147.0,913.0,1013.0,913.0,10130.0,9130.0,101300.0,91300.0,The record-setting S&P 500 is putting up some impressive stats: By the numbers,Yahoo Finance,2026-06-02,0.511,Marvell stock soars as Nvidia CEO calls chipmaker 'the next trillion-dollar company',Yahoo Finance,2026-06-02,0.0,3 Reasons MU Has Explosive Upside Potential,StockStory,2026-06-02,0.0,2,strong_buy,0.82,"MU has strong momentum (+79.15% 1M, +227.54% YTD), solid P/E of 48.64, strong_buy analyst consensus with score 1.48, and high news sentiment of 0.519. Web search confirms memory sector tailwinds from AI data center growth.",+79.15% 1M momentum; P/E 48.64; strong_buy consensus (1.48); news sentiment 0.519,,,,,
STX,Seagate Technology,AI,memory,NASDAQ,930.32,+0.86%,+10.00%,+25.97%,+224.11%,+648%,156.219,2.009,88.54,3.98,32.0,4.76,buy,1.54,0.86,100.86,0.86,1008.6,8.6,10086.0,86.0,10.0,110.0,10.0,1100.0,100.0,11000.0,1000.0,25.97,125.97,25.97,1259.7,259.7,12597.0,2597.0,224.11,324.11,224.11,3241.1,2241.1,32411.0,22411.0,648.0,748.0,648.0,7480.0,6480.0,74800.0,64800.0,STX Stock Gains Over 6% — Company Settles Huawei Lawsuit For $175M,Stocktwits,2026-06-01,0.128,"Jim Cramer on Micron: “Unlike the Dot-Coms, It’s Insanely Profitable”",Insider Monkey,2026-06-01,0.0,"SanDisk Stock Near $1,700: Two Risks That Could Break the Momentum",Trefis,2026-06-01,-0.273,,,,,,,,,,
MRVL,Marvell Technology,AI,memory,NASDAQ,284.75,+29.73%,+36.73%,+73.99%,+218.94%,+252%,185.008,2.251,97.52,27.58,11.0,4.31,strong_buy,1.41,29.73,129.73,29.73,1297.3,297.3,12973.0,2973.0,36.73,136.73,36.73,1367.3,367.3,13673.0,3673.0,73.99,173.99,73.99,1739.9,739.9,17399.0,7399.0,218.94,318.94,218.94,3189.4,2189.4,31894.0,21894.0,252.0,352.0,252.0,3520.0,2520.0,35200.0,25200.0,Jensen Huang explains why Marvell is the next trillion company,Yahoo Finance Video,2026-06-02,0.0,"Tech stocks today: Google stock falls on plans to raise $80 billion, Nvidia CEO blesses Marvell stock",Yahoo Finance,2026-06-01,0.557,Stock Market Today: S&P 500 Hits A New High; This Power Stock Gets A Jolt (Live Coverage),Investor's Business Daily,2026-06-02,0.0,6,strong_buy,0.8,MRVL surged +25.06% in 1D and +67.72% in 1M on Nvidia CEO calling it 'the next trillion-dollar company'. Strong_buy consensus with score 1.41 and YTD +207.44% make it a top pick.,+25.06% 1D surge; +67.72% 1M momentum; strong_buy consensus (1.41); Nvidia CEO catalyst,,,,,
P,Everpure,AI,memory,NYSE,83.18,-0.98%,-5.85%,+14.34%,+20.53%,+54%,20.519,1.438,126.03,3.15,,4.36,buy,1.9,-0.98,99.02,-0.98,990.2,-9.8,9902.0,-98.0,-5.85,94.15,-5.85,941.5,-58.5,9415.0,-585.0,14.34,114.34,14.34,1143.4,143.4,11434.0,1434.0,20.53,120.53,20.53,1205.3,205.3,12053.0,2053.0,54.0,154.0,54.0,1540.0,540.0,15400.0,5400.0,Why Are Everpure (P) Shares Soaring Today,StockStory,2026-06-02,0.296,2 Profitable Stocks on Our Watchlist and 1 Facing Headwinds,StockStory,2026-06-01,0.44,Everpure (P) Is Down 8.8% After Raising 2027 Outlook And Showcasing Cyber-Resilient Platform Upgrade,Simply Wall St.,2026-06-01,0.0,,,,,,,,,,
RR.,Rolls-Royce Holdings,AI,nuclear-ops,LSE,1280.6,+0.61%,+1.54%,+6.54%,+6.99%,+42%,1.062,1.2,18.56,37.15,75.0,,buy,1.7,0.61,100.61,0.61,1006.1,6.1,10061.0,61.0,1.54,101.54,1.54,1015.4,15.4,10154.0,154.0,6.54,106.54,6.54,1065.4,65.4,10654.0,654.0,6.99,106.99,6.99,1069.9,69.9,10699.0,699.0,42.0,142.0,42.0,1420.0,420.0,14200.0,4200.0,Rolls-Royce updates Spectre EV — one of the few luxury EVs performing well,Yahoo Finance,2026-06-02,0.273,Erewhon sued in Culver City over a rent dispute,LA Times,2026-05-30,-0.402,European Stocks Close Lower in Thursday Trading; Defense Stocks Rally as US-Iran Tensions Persist,MT Newswires,2026-05-28,-0.527,,,,,,,,,,
CEG,Constellation Energy,AI,nuclear-ops,NASDAQ,274.41,+2.68%,-9.01%,-14.39%,-24.86%,-15%,73.61,1.155,23.86,3.21,64.0,3.25,buy,1.57,2.68,102.68,2.68,1026.8,26.8,10268.0,268.0,-9.01,90.99,-9.01,909.9,-90.1,9099.0,-901.0,-14.39,85.61,-14.39,856.1,-143.9,8561.0,-1439.0,-24.86,75.14,-24.86,751.4,-248.6,7514.0,-2486.0,-15.0,85.0,-15.0,850.0,-150.0,8500.0,-1500.0,Is Constellation Energy (CEG) Offering Opportunity After Recent Share Price Pullback?,Simply Wall St.,2026-06-02,0.727,Vistra vs. Constellation Energy: The Big Revenue Face-Off,Motley Fool,2026-06-01,0.273,"US Equity Markets Higher After Trump Says Israel, Hezbollah to Cease Fighting",MT Newswires,2026-06-01,-0.361,,,,,,,,,,
VST,Vistra Corp,AI,nuclear-ops,NYSE,159.64,+3.34%,-2.99%,-0.75%,-3.25%,-12%,39.977,1.447,26.74,4.71,59.0,4.61,strong_buy,1.42,3.34,103.34,3.34,1033.4,33.4,10334.0,334.0,-2.99,97.01,-2.99,970.1,-29.9,9701.0,-299.0,-0.75,99.25,-0.75,992.5,-7.5,9925.0,-75.0,-3.25,96.75,-3.25,967.5,-32.5,9675.0,-325.0,-12.0,88.0,-12.0,880.0,-120.0,8800.0,-1200.0,Vistra (VST) Valuation Check After Recent Share Price Pullback,Simply Wall St.,2026-06-02,0.296,Vistra vs. Constellation Energy: The Big Revenue Face-Off,Motley Fool,2026-06-01,0.273,From Bond Proxy to Battleground: Why Utilities Are the Worst Hiding Spot in 2026,24/7 Wall St.,2026-06-01,-0.84,,,,,,,,,,
TLN,Talen Energy,AI,nuclear-ops,NYSE,388.98,+3.18%,-0.01%,+1.13%,-1.95%,+48%,13.201,1.668,,0.74,,5.74,strong_buy,1.5,3.18,103.18,3.18,1031.8,31.8,10318.0,318.0,-0.01,99.99,-0.01,999.9,-0.1,9999.0,-1.0,1.13,101.13,1.13,1011.3,11.3,10113.0,113.0,-1.95,98.05,-1.95,980.5,-19.5,9805.0,-195.0,48.0,148.0,48.0,1480.0,480.0,14800.0,4800.0,5 Stocks Winning the AI Race While Everyone Watches NVIDIA,MarketBeat,2026-05-26,0.527,BE Stock Outpaces Its Industry in the Past 6 Months: How to Play?,Zacks,2026-05-25,0.34,Talen Energy Appoints New General Counsel Amid Leadership Transition (TLN),InvestorsHub,2026-05-20,0.273,,,,,,,,,,
BEP,Brookfield Renewable,AI,nuclear-ops,NYSE,37.23,+0.95%,+1.86%,+14.92%,+36.36%,+50%,17.787,0.96,,0.91,425.0,0.54,buy,2.31,0.95,100.95,0.95,1009.5,9.5,10095.0,95.0,1.86,101.86,1.86,1018.6,18.6,10186.0,186.0,14.92,114.92,14.92,1149.2,149.2,11492.0,1492.0,36.36,136.36,36.36,1363.6,363.6,13636.0,3636.0,50.0,150.0,50.0,1500.0,500.0,15000.0,5000.0,"Even After the Monster Rally, These 5 Safe High-Yielding Energy Stocks Are Still Strong Buys",24/7 Wall St.,2026-06-02,0.807,The 3 Best Nuclear Energy Industry Stocks to Buy in 2026,Motley Fool,2026-05-10,0.743,My Top 3 Green Energy Stocks for May 2026,Motley Fool,2026-05-02,0.44,,,,,,,,,,
BEPC,Brookfield Renewable Corp,AI,nuclear-ops,NYSE,39.52,+0.19%,+2.18%,+12.40%,+0.96%,+27%,5.353,1.128,,1.52,403.0,,hold,2.83,0.19,100.19,0.19,1001.9,1.9,10019.0,19.0,2.18,102.18,2.18,1021.8,21.8,10218.0,218.0,12.4,112.4,12.4,1124.0,124.0,11240.0,1240.0,0.96,100.96,0.96,1009.6,9.6,10096.0,96.0,27.0,127.0,27.0,1270.0,270.0,12700.0,2700.0,3 High-Yield Dividend Stocks I Can't Wait to Buy in June to Boost My Passive Income,Motley Fool,2026-06-02,0.542,I'd Double My Position in These 3 Dividend Stocks Without Thinking Twice,Motley Fool,2026-05-19,0.0,"Brookfield Renewable Has Over 85,000 MW in Its Development Pipeline and Just Added Another 1,700 MW of Long-Term Contracts. Here's the Case for Owning It.",Motley Fool,2026-05-18,0.0,,,,,,,,,,
GEV,GE Vernova,AI,smr,NYSE,964.72,+1.53%,-9.88%,-10.17%,+42.15%,+93%,192.532,1.313,28.19,2.54,21.0,3.3,buy,1.56,1.53,101.53,1.53,1015.3,15.3,10153.0,153.0,-9.88,90.12,-9.88,901.2,-98.8,9012.0,-988.0,-10.17,89.83,-10.17,898.3,-101.7,8983.0,-1017.0,42.15,142.15,42.15,1421.5,421.5,14215.0,4215.0,93.0,193.0,93.0,1930.0,930.0,19300.0,9300.0,Watch These 5 Non-Tech Stocks Thriving in 2026 on AI Data Center Boom,Zacks,2026-06-02,0.0,Energy Transition Today - Innovative Solar Tracker Tackles Challenging Terrains Efficiently,Simply Wall St.,2026-06-02,0.807,2 Industrials Stocks with Competitive Advantages and 1 Facing Challenges,StockStory,2026-06-02,0.542,,,,,,,,,,
BWXT,BWX Technologies,AI,smr,NYSE,184.08,-2.34%,-9.93%,-14.93%,+1.50%,+47%,12.525,0.778,49.09,1.02,55.0,4.02,buy,1.93,-2.34,97.66,-2.34,976.6,-23.4,9766.0,-234.0,-9.93,90.07,-9.93,900.7,-99.3,9007.0,-993.0,-14.93,85.07,-14.93,850.7,-149.3,8507.0,-1493.0,1.5,101.5,1.5,1015.0,15.0,10150.0,150.0,47.0,147.0,47.0,1470.0,470.0,14700.0,4700.0,Oklo vs. BWX Technologies: The Big Nuclear Revenue Face-Off and One Clear Winner,Motley Fool,2026-06-01,0.751,BWX Technologies (BWXT) – Among the 15 Best Nuclear Power Stocks to Buy According to Wall Street Analysts,Insider Monkey,2026-05-31,0.637,BWX Technologies vs. Uranium Energy: Which Nuclear Stock Wins Now?,Zacks,2026-05-29,0.7,,,,,,,,,,
SMR,NuScale Power,AI,smr,NYSE,14.02,+8.30%,+14.77%,+15.15%,-14.01%,-59%*,3.605,2.252,,29.77,,19.63,hold,2.53,8.3,108.3,8.3,1083.0,83.0,10830.0,830.0,14.77,114.77,14.77,1147.7,147.7,11477.0,1477.0,15.15,115.15,15.15,1151.5,151.5,11515.0,1515.0,-14.01,85.99,-14.01,859.9,-140.1,8599.0,-1401.0,-59.0,41.0,-59.0,410.0,-590.0,4100.0,-5900.0,Why NuScale Power (SMR) Is Up 13.1% After Advancing Global SMR Partnership Talks And Projects,Simply Wall St.,2026-06-02,0.0,NuScale Power Stock Has 107.1% Upside According to This Wall Street Analyst. Is He Right?,Motley Fool,2026-06-01,0.0,NuScale Power Is on Sale. Could This Be the Buy That Sets You Up for Life?,Motley Fool,2026-06-01,0.0,,,,,,,,,,
OKLO,Oklo Inc,AI,smr,NYSE,73.43,+8.63%,+6.89%,+7.05%,-5.61%,+34%*,9.489,1.181,,12.44,,23.09,buy,1.96,8.63,108.63,8.63,1086.3,86.3,10863.0,863.0,6.89,106.89,6.89,1068.9,68.9,10689.0,689.0,7.05,107.05,7.05,1070.5,70.5,10705.0,705.0,-5.61,94.39,-5.61,943.9,-56.1,9439.0,-561.0,34.0,134.0,34.0,1340.0,340.0,13400.0,3400.0,I'm Calling It: Oklo Will Be a Very Different Stock After July for 1 Reason,Motley Fool,2026-06-02,0.0,Better Nuclear Energy Stock: Nano Nuclear Energy vs. Oklo,Motley Fool,2026-06-01,0.727,Assessing Oklo (OKLO) Valuation After Recent Share Price Pullback And Long Term Gains,Simply Wall St.,2026-06-01,0.557,,,,,,,,,,
NNE,NANO Nuclear Energy,AI,smr,NASDAQ,31.09,+4.66%,+6.95%,+33.32%,+12.60%,+2%*,1.203,5.144,,2.25,,21.77,strong_buy,1.5,4.66,104.66,4.66,1046.6,46.6,10466.0,466.0,6.95,106.95,6.95,1069.5,69.5,10695.0,695.0,33.32,133.32,33.32,1333.2,333.2,13332.0,3332.0,12.6,112.6,12.6,1126.0,126.0,11260.0,1260.0,2.0,102.0,2.0,1020.0,20.0,10200.0,200.0,Better Nuclear Energy Stock: Nano Nuclear Energy vs. Oklo,Motley Fool,2026-06-01,0.727,3 Nuclear Stocks Worth Buying as the World Scrambles for Reliable Power,Motley Fool,2026-06-01,0.226,Nano Nuclear Energy Acquires Secured Transportation Services for $13 Million,Insider Monkey,2026-05-31,0.586,,,,,,,,,,
CCJ,Cameco Corporation,AI,uranium,NYSE,121.0,+7.08%,+11.87%,+2.32%,+22.77%,+89%,39.14,1.03,112.04,3.26,15.0,,buy,1.79,7.08,107.08,7.08,1070.8,70.8,10708.0,708.0,11.87,111.87,11.87,1118.7,118.7,11187.0,1187.0,2.32,102.32,2.32,1023.2,23.2,10232.0,232.0,22.77,122.77,22.77,1227.7,227.7,12277.0,2277.0,89.0,189.0,89.0,1890.0,890.0,18900.0,8900.0,Cameco Maintained at Buy at Stifel Canada Following TEPCO Cigar Lake Stake Buy; Price Target Kept at C$180,MT Newswires,2026-06-02,0.0,Cameco to Increase Stake in Cigar Lake: A Strategic Uranium Bet?,Zacks,2026-06-02,0.318,"Cameco, Orano Canada to acquire TEPCO’s Cigar Lake interest",Mining Technology,2026-06-02,0.459,,,,,,,,,,
UEC,Uranium Energy Corp,AI,uranium,NYSE,15.16,+11.56%,+12.21%,+2.29%,+15.64%,+114%,5.519,1.179,,9.34,,13.79,strong_buy,1.44,11.56,111.56,11.56,1115.6,115.6,11156.0,1156.0,12.21,112.21,12.21,1122.1,122.1,11221.0,1221.0,2.29,102.29,2.29,1022.9,22.9,10229.0,229.0,15.64,115.64,15.64,1156.4,156.4,11564.0,1564.0,114.0,214.0,114.0,2140.0,1140.0,21400.0,11400.0,3 Stocks Estimated To Be Trading Up To 49.6% Below Their Intrinsic Value,Simply Wall St.,2026-06-02,0.34,3 Nuclear Energy Stocks That Are Quietly Becoming the Trades of the Year,Motley Fool,2026-05-30,0.273,Three Stocks That May Be Trading Below Estimated Value In May 2026,Simply Wall St.,2026-05-29,0.34,,,,,,,,,,
LEU,Centrus Energy,AI,uranium,NYSE,200.31,+5.26%,+9.24%,-3.19%,-26.49%,+44%,2.927,1.436,72.58,0.84,,22.57,buy,1.75,5.26,105.26,5.26,1052.6,52.6,10526.0,526.0,9.24,109.24,9.24,1092.4,92.4,10924.0,924.0,-3.19,96.81,-3.19,968.1,-31.9,9681.0,-319.0,-26.49,73.51,-26.49,735.1,-264.9,7351.0,-2649.0,44.0,144.0,44.0,1440.0,440.0,14400.0,4400.0,Cameco to Increase Stake in Cigar Lake: A Strategic Uranium Bet?,Zacks,2026-06-02,0.318,Oklo vs. BWX Technologies: The Big Nuclear Revenue Face-Off and One Clear Winner,Motley Fool,2026-06-01,0.751,"Analyst Reiterates Hold Rating on Centrus Energy (LEU), Assigns $236 Price Target",Insider Monkey,2026-05-31,0.273,,,,,,,,,,
VRT,Vertiv Holdings,AI,power-infra,NYSE,335.36,+2.90%,+3.53%,+1.33%,+91.01%,+188%,95.668,2.099,84.26,7.55,8.0,3.54,strong_buy,1.5,2.9,102.9,2.9,1029.0,29.0,10290.0,290.0,3.53,103.53,3.53,1035.3,35.3,10353.0,353.0,1.33,101.33,1.33,1013.3,13.3,10133.0,133.0,91.01,191.01,91.01,1910.1,910.1,19101.0,9101.0,188.0,288.0,188.0,2880.0,1880.0,28800.0,18800.0,The Boring Sector Quietly Powering the Entire AI Revolution,24/7 Wall St.,2026-06-02,-0.318,Beyond the AI Boom: 3 Forgotten Sectors to Buy Amid Historic Market Disconnect,Barrons.com,2026-06-02,-0.226,Is Trending Stock Vertiv Holdings Co. (VRT) a Buy Now?,Zacks,2026-06-02,0.0,,,,,,,,,,
ETN,Eaton Corporation,AI,power-infra,NYSE,414.15,+3.61%,+2.73%,-1.69%,+27.28%,+23%,119.434,1.24,40.6,2.67,110.0,2.37,buy,1.72,3.61,103.61,3.61,1036.1,36.1,10361.0,361.0,2.73,102.73,2.73,1027.3,27.3,10273.0,273.0,-1.69,98.31,-1.69,983.1,-16.9,9831.0,-169.0,27.28,127.28,27.28,1272.8,272.8,12728.0,2728.0,23.0,123.0,23.0,1230.0,230.0,12300.0,2300.0,The Boring Sector Quietly Powering the Entire AI Revolution,24/7 Wall St.,2026-06-02,-0.318,Watch These 5 Non-Tech Stocks Thriving in 2026 on AI Data Center Boom,Zacks,2026-06-02,0.0,Is Eaton Corporation Stock Underperforming the S&P 500?,Barchart,2026-06-02,0.0,,,,,,,,,,
POWL,Powell Industries,AI,power-infra,NASDAQ,288.06,+1.06%,-1.34%,+6.75%,+145.35%,+398%,7.794,1.144,56.15,0.67,12.0,12.53,none,,1.06,101.06,1.06,1010.6,10.6,10106.0,106.0,-1.34,98.66,-1.34,986.6,-13.4,9866.0,-134.0,6.75,106.75,6.75,1067.5,67.5,10675.0,675.0,145.35,245.35,145.35,2453.5,1453.5,24535.0,14535.0,398.0,498.0,398.0,4980.0,3980.0,49800.0,39800.0,VWDRY vs. POWL: Which Stock Should Value Investors Buy Now?,Zacks,2026-06-01,0.34,"Is Most-Watched Stock Powell Industries, Inc. (POWL) Worth Betting on Now?",Zacks,2026-06-01,0.226,Powell vs. EnerSys: Which Industrial Stock has Better Prospects?,Zacks,2026-05-29,0.625,,,,,,,,,,
EQIX,Equinix,AI,dc-operators,NASDAQ,1074.06,+1.57%,-0.33%,-0.35%,+42.03%,+17%,78.671,0.997,74.07,0.58,187.0,2.2,buy,1.58,1.57,101.57,1.57,1015.7,15.7,10157.0,157.0,-0.33,99.67,-0.33,996.7,-3.3,9967.0,-33.0,-0.35,99.65,-0.35,996.5,-3.5,9965.0,-35.0,42.03,142.03,42.03,1420.3,420.3,14203.0,4203.0,17.0,117.0,17.0,1170.0,170.0,11700.0,1700.0,Peter Bergan Joins Vinson & Elkins as Real Estate Partner,CorpGov.com,2026-06-01,0.0,3 Ways to Play the Data Center Land Grab,MarketBeat,2026-05-31,0.34,Why One Real Estate Fund Dumped $62 Million of Cousins Properties Stock,Motley Fool,2026-05-30,-0.402,,,,,,,,,,
DLR,Digital Realty,AI,dc-operators,NYSE,185.93,-0.82%,-4.00%,-6.34%,+20.74%,+6%,49.392,1.08,49.32,2.02,264.0,,buy,1.72,-0.82,99.18,-0.82,991.8,-8.2,9918.0,-82.0,-4.0,96.0,-4.0,960.0,-40.0,9600.0,-400.0,-6.34,93.66,-6.34,936.6,-63.4,9366.0,-634.0,20.74,120.74,20.74,1207.4,207.4,12074.0,2074.0,6.0,106.0,6.0,1060.0,60.0,10600.0,600.0,DLR Stock Rallies 19% in 6 Months: Will the Momentum Last?,Zacks,2026-06-01,0.0,Peter Bergan Joins Vinson & Elkins as Real Estate Partner,CorpGov.com,2026-06-01,0.0,3 Ways to Play the Data Center Land Grab,MarketBeat,2026-05-31,0.34,,,,,,,,,,
AMT,American Tower,AI,dc-operators,NYSE,185.01,-1.57%,+0.03%,+2.28%,+6.90%,-12%,64.013,0.9,29.79,3.1,372.0,2.22,buy,1.68,-1.57,98.43,-1.57,984.3,-15.7,9843.0,-157.0,0.03,100.03,0.03,1000.3,0.3,10003.0,3.0,2.28,102.28,2.28,1022.8,22.8,10228.0,228.0,6.9,106.9,6.9,1069.0,69.0,10690.0,690.0,-12.0,88.0,-12.0,880.0,-120.0,8800.0,-1200.0,DLR Stock Rallies 19% in 6 Months: Will the Momentum Last?,Zacks,2026-06-01,0.0,XLRE Hits 11% Gain This Year; Can the Payout Stay Safe,24/7 Wall St.,2026-05-30,0.743,Why Is VICI Properties (VICI) Down 3% Since Last Earnings Report?,Zacks,2026-05-29,0.0,,,,,,,,,,
GOOGL,Alphabet (Google),AI,hyperscalers,NASDAQ,367.56,-1.59%,-5.48%,-4.09%,+16.71%,+126%,3307.267,1.267,28.06,28.19,23.0,1.41,strong_buy,1.44,-1.59,98.41,-1.59,984.1,-15.9,9841.0,-159.0,-5.48,94.52,-5.48,945.2,-54.8,9452.0,-548.0,-4.09,95.91,-4.09,959.1,-40.9,9591.0,-409.0,16.71,116.71,16.71,1167.1,167.1,11671.0,1671.0,126.0,226.0,126.0,2260.0,1260.0,22600.0,12600.0,"Stock market today: Dow, S&P 500, Nasdaq build on records as US-Iran tensions weigh on AI optimism",Yahoo Finance,2026-06-01,0.202,AI is carrying the S&P 500 rally: Chart of the Day,Yahoo Finance,2026-06-02,0.0,Stock Market Today: S&P 500 Hits A New High; This Power Stock Gets A Jolt (Live Coverage),Investor's Business Daily,2026-06-02,0.0,,,,,,,,,,
MSFT,Microsoft,AI,hyperscalers,NASDAQ,445.26,-1.58%,+7.03%,+7.88%,-5.43%,-1%,2456.588,1.093,26.49,34.58,79.0,1.04,strong_buy,1.34,-1.58,98.42,-1.58,984.2,-15.8,9842.0,-158.0,7.03,107.03,7.03,1070.3,70.3,10703.0,703.0,7.88,107.88,7.88,1078.8,78.8,10788.0,788.0,-5.43,94.57,-5.43,945.7,-54.3,9457.0,-543.0,-1.0,99.0,-1.0,990.0,-10.0,9900.0,-100.0,How Google is funding its AI push,Yahoo Finance Video,2026-06-02,0.0,Nvidia partners with Microsoft on new RTX Spark laptops,Yahoo Finance Video,2026-06-01,0.226,Macro guru Raoul Pal delivers crucial message for investors chasing rally,TheStreet,2026-06-02,0.0,,,,,,,,,,
AMZN,Amazon,AI,hyperscalers,NASDAQ,258.73,-0.35%,-2.47%,-4.90%,+14.23%,+27%,2066.978,1.468,31.32,45.01,,1.06,strong_buy,1.35,-0.35,99.65,-0.35,996.5,-3.5,9965.0,-35.0,-2.47,97.53,-2.47,975.3,-24.7,9753.0,-247.0,-4.9,95.1,-4.9,951.0,-49.0,9510.0,-490.0,14.23,114.23,14.23,1142.3,142.3,11423.0,1423.0,27.0,127.0,27.0,1270.0,270.0,12700.0,2700.0,Why Amazon is moving Prime Day to earlier June date this year,Yahoo Finance Video,2026-06-02,0.178,Amazon sets the stage for its first Prime Day in June since 2021,Yahoo Finance,2026-06-02,0.178,Stock Market Today: S&P 500 Hits A New High; This Power Stock Gets A Jolt (Live Coverage),Investor's Business Daily,2026-06-02,0.0,,,,,,,,,,
META,Meta Platforms,AI,hyperscalers,NASDAQ,606.57,+0.99%,-0.94%,-0.63%,-6.66%,-10%,1143.528,1.243,22.06,16.05,35.0,1.46,strong_buy,1.34,0.99,100.99,0.99,1009.9,9.9,10099.0,99.0,-0.94,99.06,-0.94,990.6,-9.4,9906.0,-94.0,-0.63,99.37,-0.63,993.7,-6.3,9937.0,-63.0,-6.66,93.34,-6.66,933.4,-66.6,9334.0,-666.0,-10.0,90.0,-10.0,900.0,-100.0,9000.0,-1000.0,"SpaceX, OpenAI & Anthropic IPOs: Investors should ask one question",Yahoo Finance Video,2026-06-02,0.0,AI is carrying the S&P 500 rally: Chart of the Day,Yahoo Finance,2026-06-02,0.0,"Buy, Hold, or Sell: Is CoreWeave a Multibagger in the Making, or an AI Infrastructure Debt Trap?",24/7 Wall St.,2026-06-02,-0.586,,,,,,,,,,
