ticker,company_name,sector,category,exchange,price_usd,change_1d,change_1w,change_1m,change_ytd,return_1yr,market_cap_gbp_b,beta,pe_ratio,avg_volume_m,div_yield_pct,short_pct,analyst,analyst_score,pct_1d,val_100_1d,profit_100_1d,val_1000_1d,profit_1000_1d,val_10000_1d,profit_10000_1d,pct_1w,val_100_1w,profit_100_1w,val_1000_1w,profit_1000_1w,val_10000_1w,profit_10000_1w,pct_1m,val_100_1m,profit_100_1m,val_1000_1m,profit_1000_1m,val_10000_1m,profit_10000_1m,pct_ytd,val_100_ytd,profit_100_ytd,val_1000_ytd,profit_1000_ytd,val_10000_ytd,profit_10000_ytd,pct_1y,val_100_1y,profit_100_1y,val_1000_1y,profit_1000_1y,val_10000_1y,profit_10000_1y,news1_title,news1_publisher,news1_date,news1_sentiment,news2_title,news2_publisher,news2_date,news2_sentiment,news3_title,news3_publisher,news3_date,news3_sentiment,signal_rank,signal,signal_confidence,signal_rationale,signal_drivers,portfolio_held,portfolio_quantity,portfolio_avg_price,portfolio_ppl,portfolio_total_value
MU,Micron Technology,Tech,semiconductors,NASDAQ,1044.19,+0.40%,+16.55%,+81.14%,+231.18%,+913%,874.354,1.919,49.18,48.07,6.0,3.13,strong_buy,1.48,0.4,100.4,0.4,1004.0,4.0,10040.0,40.0,16.55,116.55,16.55,1165.5,165.5,11655.0,1655.0,81.14,181.14,81.14,1811.4,811.4,18114.0,8114.0,231.18,331.18,231.18,3311.8,2311.8,33118.0,23118.0,913.0,1013.0,913.0,10130.0,9130.0,101300.0,91300.0,The record-setting S&P 500 is putting up some impressive stats: By the numbers,Yahoo Finance,2026-06-02,0.511,Marvell stock soars as Nvidia CEO calls chipmaker 'the next trillion-dollar company',Yahoo Finance,2026-06-02,0.0,3 Reasons MU Has Explosive Upside Potential,StockStory,2026-06-02,0.0,3,strong_buy,0.79,"Micron shows +226.05% YTD, +78.33% 1M, strong_buy analyst consensus (an_score 1.48), and highest news sentiment of 0.519 among peers, driven by memory demand for AI.",+226% YTD; +78% 1M; news_s 0.52; strong_buy consensus,,,,,
AMAT,Applied Materials,Tech,semiconductors,NASDAQ,480.26,+5.38%,+5.58%,+22.86%,+79.07%,+183%,283.178,1.654,45.18,6.73,46.0,2.31,strong_buy,1.5,5.38,105.38,5.38,1053.8,53.8,10538.0,538.0,5.58,105.58,5.58,1055.8,55.8,10558.0,558.0,22.86,122.86,22.86,1228.6,228.6,12286.0,2286.0,79.07,179.07,79.07,1790.7,790.7,17907.0,7907.0,183.0,283.0,183.0,2830.0,1830.0,28300.0,18300.0,Applied Materials: The AI Stock That Wins No Matter Which Chip Wins,Trefis,2026-06-02,0.809,AI Power Boards and SiC Grid to Aid Navitas Semiconductor's Prospects,Zacks,2026-06-02,0.296,NVTS Stock: What the Neutral Stance Means at Today's Valuation,Zacks,2026-06-02,0.0,,,,,,,,,,
ORCL,Oracle,Tech,enterprise-software,NYSE,243.49,+0.70%,+26.12%,+35.05%,+25.18%,+47%,520.069,1.544,43.79,27.33,81.0,2.12,buy,1.51,0.7,100.7,0.7,1007.0,7.0,10070.0,70.0,26.12,126.12,26.12,1261.2,261.2,12612.0,2612.0,35.05,135.05,35.05,1350.5,350.5,13505.0,3505.0,25.18,125.18,25.18,1251.8,251.8,12518.0,2518.0,47.0,147.0,47.0,1470.0,470.0,14700.0,4700.0,Macro guru Raoul Pal delivers crucial message for investors chasing rally,TheStreet,2026-06-02,0.0,"Arm Names ByteDance, Oracle as AI CPU Customers",GuruFocus.com,2026-06-02,0.0,"HPE, Marvell, Oracle, Google, and More Stocks That Explain Today’s Market",Barrons.com,2026-06-02,0.0,,,,,,,,,,
CRM,Salesforce,Tech,enterprise-software,NYSE,197.82,-4.89%,+10.46%,+6.65%,-21.81%,-21%,120.32,1.139,22.9,13.91,84.0,8.86,buy,1.62,-4.89,95.11,-4.89,951.1,-48.9,9511.0,-489.0,10.46,110.46,10.46,1104.6,104.6,11046.0,1046.0,6.65,106.65,6.65,1066.5,66.5,10665.0,665.0,-21.81,78.19,-21.81,781.9,-218.1,7819.0,-2181.0,-21.0,79.0,-21.0,790.0,-210.0,7900.0,-2100.0,Salesforce AI Push With Anthropic And Contentful Meets Undervalued Share Price,Simply Wall St.,2026-06-02,0.296,Software ETF sees record retail buying as AI concerns ease,Investing.com,2026-06-02,0.361,"DA Davidson Cuts PT on Salesforce, Inc. (CRM) Following Q1 Results",Insider Monkey,2026-06-02,-0.296,,,,,,,,,,
ADBE,Adobe,Tech,enterprise-software,NASDAQ,262.38,-3.72%,+9.10%,+3.32%,-21.28%,-34%,78.746,1.417,15.3,5.57,,5.24,hold,2.51,-3.72,96.28,-3.72,962.8,-37.2,9628.0,-372.0,9.1,109.1,9.1,1091.0,91.0,10910.0,910.0,3.32,103.32,3.32,1033.2,33.2,10332.0,332.0,-21.28,78.72,-21.28,787.2,-212.8,7872.0,-2128.0,-34.0,66.0,-34.0,660.0,-340.0,6600.0,-3400.0,Software ETF sees record retail buying as AI concerns ease,Investing.com,2026-06-02,0.361,Retail investors fuel record buying in US software ETF as AI trade broadens,Reuters,2026-06-02,0.0,How to Boost Your Portfolio with Top Computer and Technology Stocks Set to Beat Earnings,Zacks,2026-06-02,0.542,,,,,,,,,,
NOW,ServiceNow,Tech,enterprise-software,NYSE,126.4,-4.23%,+26.51%,+37.44%,-14.27%,-33%,96.814,0.819,75.24,25.86,,5.63,strong_buy,1.44,-4.23,95.77,-4.23,957.7,-42.3,9577.0,-423.0,26.51,126.51,26.51,1265.1,265.1,12651.0,2651.0,37.44,137.44,37.44,1374.4,374.4,13744.0,3744.0,-14.27,85.73,-14.27,857.3,-142.7,8573.0,-1427.0,-33.0,67.0,-33.0,670.0,-330.0,6700.0,-3300.0,Why a massive Nvidia stock rally may be just getting started,Yahoo Finance,2026-06-02,0.0,Software ETF sees record retail buying as AI concerns ease,Investing.com,2026-06-02,0.361,Retail investors fuel record buying in US software ETF as AI trade broadens,Reuters,2026-06-02,0.0,5,strong_buy,0.72,"ServiceNow surged +35.79% 1M and +24.99% 1W, with strong_buy analyst consensus (an_score 1.44) and a low beta of 0.819 offering downside protection while capitalizing on AI workflow adoption.",+36% 1M momentum; strong_buy consensus; low beta 0.82; AI workflow catalyst,,,,,
SNOW,Snowflake,Tech,enterprise-software,NYSE,260.99,-5.79%,+46.96%,+80.98%,+20.44%,+34%,67.181,1.079,,7.93,,5.76,strong_buy,1.49,-5.79,94.21,-5.79,942.1,-57.9,9421.0,-579.0,46.96,146.96,46.96,1469.6,469.6,14696.0,4696.0,80.98,180.98,80.98,1809.8,809.8,18098.0,8098.0,20.44,120.44,20.44,1204.4,204.4,12044.0,2044.0,34.0,134.0,34.0,1340.0,340.0,13400.0,3400.0,Snowflake CEO after mind-blowing stock gain: Our investments are coming together,Yahoo Finance,2026-06-02,0.527,AI must 'accelerate the core' of your business: Snowflake CEO,Yahoo Finance Video,2026-06-02,0.0,Snowflake Inc. (SNOW) is Attracting Investor Attention: Here is What You Should Know,Zacks,2026-06-02,0.477,2,strong_buy,0.8,"Snowflake surged +78.34% 1M and +44.81% 1W, with strong_buy analyst consensus (an_score 1.49) and positive news sentiment 0.155 reinforced by CEO's 'AI must accelerate the core' message.",+78% 1M momentum; strong_buy consensus; positive news sentiment; AI platform catalyst,,,,,
INTU,Intuit,Tech,enterprise-software,NASDAQ,323.6,-7.81%,+6.32%,-20.49%,-48.34%,-54%,65.736,1.035,19.76,4.12,136.0,4.62,buy,1.53,-7.81,92.19,-7.81,921.9,-78.1,9219.0,-781.0,6.32,106.32,6.32,1063.2,63.2,10632.0,632.0,-20.49,79.51,-20.49,795.1,-204.9,7951.0,-2049.0,-48.34,51.66,-48.34,516.6,-483.4,5166.0,-4834.0,-54.0,46.0,-54.0,460.0,-540.0,4600.0,-5400.0,Brown Advisory Global Leaders Strategy Sold Intuit (INTU) on AI Substitution Concerns,Insider Monkey,2026-06-02,0.0,"Meta Platforms upgraded, Okta downgraded: Wall Street's top analyst calls",The Fly,2026-06-02,0.202,"Software stocks whipsaw amid AI fears, as Anthropic IPO looms",Investing.com,2026-06-02,-0.527,,,,,,,,,,
CRWD,CrowdStrike,Tech,cybersecurity,NASDAQ,758.5,-2.07%,+12.95%,+61.64%,+67.23%,+60%,143.38,1.06,,3.6,,3.0,buy,1.69,-2.07,97.93,-2.07,979.3,-20.7,9793.0,-207.0,12.95,112.95,12.95,1129.5,129.5,11295.0,1295.0,61.64,161.64,61.64,1616.4,616.4,16164.0,6164.0,67.23,167.23,67.23,1672.3,672.3,16723.0,6723.0,60.0,160.0,60.0,1600.0,600.0,16000.0,6000.0,"AI is multiplying the cybersecurity threat, and Palo Alto Networks and CrowdStrike are the main beneficiaries",Proactive,2026-06-02,-0.153,Here's How Much CrowdStrike Stock Is Expected to Move After Earnings,Investopedia,2026-06-02,0.0,Assessing CrowdStrike (CRWD) Valuation After Sharp Multi‑Year Share Price Gains,Simply Wall St.,2026-06-02,0.557,6,buy,0.71,"CrowdStrike gained +66.30% YTD and +60.75% 1M, with buy consensus (an_score 1.69), positive news sentiment 0.149, and is a direct beneficiary of AI-driven cybersecurity demand.",+66% YTD; +61% 1M; buy consensus; cybersecurity AI catalyst,,,,,
PANW,Palo Alto Networks,Tech,cybersecurity,NASDAQ,293.45,-2.12%,+14.30%,+59.00%,+63.60%,+52%,176.745,0.77,163.03,8.08,,3.48,buy,1.59,-2.12,97.88,-2.12,978.8,-21.2,9788.0,-212.0,14.3,114.3,14.3,1143.0,143.0,11430.0,1430.0,59.0,159.0,59.0,1590.0,590.0,15900.0,5900.0,63.6,163.6,63.6,1636.0,636.0,16360.0,6360.0,52.0,152.0,52.0,1520.0,520.0,15200.0,5200.0,Can AI Make Palo Alto Networks (PANW) Even More Essential?,Insider Monkey,2026-06-02,0.0,NATO AI Security Role Puts Focus On Palo Alto Networks Earnings Story,Simply Wall St.,2026-06-02,0.34,A Once-in-a-Generation Megatrend Makes This Cybersecurity Stock a High-Conviction Buy for the Next 20 Years,24/7 Wall St.,2026-06-02,0.0,4,buy,0.76,"Palo Alto Networks has +64.08% YTD and +59.46% 1M, with low beta 0.77 and buy consensus; the headline 'AI is multiplying the cybersecurity threat' reinforces demand for its platform.",+64% YTD; +59% 1M; low beta 0.77; cybersecurity AI tailwind,,,,,
NET,Cloudflare,Tech,cybersecurity,NYSE,271.82,+1.77%,+24.95%,+21.25%,+38.67%,+57%,71.352,1.673,,4.37,,3.2,buy,1.97,1.77,101.77,1.77,1017.7,17.7,10177.0,177.0,24.95,124.95,24.95,1249.5,249.5,12495.0,2495.0,21.25,121.25,21.25,1212.5,212.5,12125.0,2125.0,38.67,138.67,38.67,1386.7,386.7,13867.0,3867.0,57.0,157.0,57.0,1570.0,570.0,15700.0,5700.0,"Software stocks whipsaw amid AI fears, as Anthropic IPO looms",Investing.com,2026-06-02,-0.527,Why Is Cloudflare (NET) Stock Soaring Today,StockStory,2026-06-02,0.0,From the stage to the future: Where are Startup Battlefield’s alumni now?,TechCrunch,2026-06-01,0.0,,,,,,,,,,
FTNT,Fortinet,Tech,cybersecurity,NASDAQ,146.23,+0.15%,+9.16%,+63.86%,+87.76%,+43%,79.564,0.919,56.9,6.15,,3.24,hold,2.7,0.15,100.15,0.15,1001.5,1.5,10015.0,15.0,9.16,109.16,9.16,1091.6,91.6,10916.0,916.0,63.86,163.86,63.86,1638.6,638.6,16386.0,6386.0,87.76,187.76,87.76,1877.6,877.6,18776.0,8776.0,43.0,143.0,43.0,1430.0,430.0,14300.0,4300.0,10 Overvalued Stocks Are Ticking Time Bombs In Your Portfolio,Investor's Business Daily,2026-06-01,0.0,Fortinet vs. CrowdStrike: What Comparing Revenue Trends Tells Investors,Motley Fool,2026-05-30,0.0,Stocks Rally on Easing Geopolitical Tensions and AI Enthusiasm,Barchart,2026-05-29,0.296,1,buy,0.82,"Fortinet has +85.24% YTD, +61.66% 1M, strong news sentiment 0.33, and analysts highlight cybersecurity tailwinds from AI-driven threats; P/E of 56.13 is elevated but supported by recent live catalyst 'AI is multiplying the cybersecurity threat'.",+85% YTD; +62% 1M momentum; news_s 0.33; cybersecurity AI catalyst,,,,,
NFLX,Netflix,Tech,consumer-platform,NASDAQ,84.18,-1.75%,-3.99%,-7.51%,-7.48%,-30%,263.243,1.548,27.15,38.76,,2.34,buy,1.68,-1.75,98.25,-1.75,982.5,-17.5,9825.0,-175.0,-3.99,96.01,-3.99,960.1,-39.9,9601.0,-399.0,-7.51,92.49,-7.51,924.9,-75.1,9249.0,-751.0,-7.48,92.52,-7.48,925.2,-74.8,9252.0,-748.0,-30.0,70.0,-30.0,700.0,-300.0,7000.0,-3000.0,A Look At Netflix (NFLX) Valuation As Live Content And Franchise Deals Broaden Its Business Model,Simply Wall St.,2026-06-02,0.0,How Much Upside Can AMZN Stock's Growth Deliver?,Trefis,2026-06-02,0.382,Amazon Stock's Great Standoff,Trefis,2026-06-02,0.7,,,,,,,,,,
SHOP,Shopify,Tech,consumer-platform,NYSE,116.67,-5.03%,+11.22%,-8.53%,-25.78%,+18%,112.435,2.644,114.38,10.29,,1.79,buy,1.75,-5.03,94.97,-5.03,949.7,-50.3,9497.0,-503.0,11.22,111.22,11.22,1112.2,112.2,11122.0,1122.0,-8.53,91.47,-8.53,914.7,-85.3,9147.0,-853.0,-25.78,74.22,-25.78,742.2,-257.8,7422.0,-2578.0,18.0,118.0,18.0,1180.0,180.0,11800.0,1800.0,Can Shopify Balance Sidekick Growth With Higher LLM Costs?,Zacks,2026-06-02,0.382,Shopify Inc. (SHOP) Is a Trending Stock: Facts to Know Before Betting on It,Zacks,2026-06-02,0.0,Prediction: Shopify Will Trade at This Price in Two Years,24/7 Wall St.,2026-06-02,0.0,,,,,,,,,,
SPOT,Spotify,Tech,consumer-platform,NYSE,505.87,+1.38%,-4.50%,+15.43%,-12.02%,-24%,77.248,1.554,33.66,2.18,,4.07,buy,1.59,1.38,101.38,1.38,1013.8,13.8,10138.0,138.0,-4.5,95.5,-4.5,955.0,-45.0,9550.0,-450.0,15.43,115.43,15.43,1154.3,154.3,11543.0,1543.0,-12.02,87.98,-12.02,879.8,-120.2,8798.0,-1202.0,-24.0,76.0,-24.0,760.0,-240.0,7600.0,-2400.0,Universal Music Group Rejects Bill Ackman’s Offer as Too Low,Bloomberg,2026-05-29,-0.649,Meta Platforms (META) Up 3.8% Since Last Earnings Report: Can It Continue?,Zacks,2026-05-29,0.0,Why Spotify Technology (SPOT) Is Up 5.5% After Launching Paid AI Remixes And Superfan Tools,Simply Wall St.,2026-05-29,0.0,,,,,,,,,,
UBER,Uber,Tech,consumer-platform,NYSE,71.94,-2.36%,+2.60%,-2.69%,-13.18%,-11%,108.755,1.158,17.85,17.38,,3.05,strong_buy,1.45,-2.36,97.64,-2.36,976.4,-23.6,9764.0,-236.0,2.6,102.6,2.6,1026.0,26.0,10260.0,260.0,-2.69,97.31,-2.69,973.1,-26.9,9731.0,-269.0,-13.18,86.82,-13.18,868.2,-131.8,8682.0,-1318.0,-11.0,89.0,-11.0,890.0,-110.0,8900.0,-1100.0,"As Anthropic Files for IPO, AI Savings Disappoint America’s C-Suites",The Daily Upside,2026-06-02,-0.402,Why Uber (UBER) Stock Is Trading Up Today,StockStory,2026-06-02,0.0,Nvidia Expands Into CPUs As AI Partnerships Grow And Valuation Stretches,Simply Wall St.,2026-06-02,0.103,,,,,,,,,,
CSCO,Cisco Systems,Tech,hardware-infra,NASDAQ,127.41,+4.44%,+7.67%,+37.55%,+68.46%,+89%,372.957,0.912,42.47,23.4,138.0,1.5,buy,1.88,4.44,104.44,4.44,1044.4,44.4,10444.0,444.0,7.67,107.67,7.67,1076.7,76.7,10767.0,767.0,37.55,137.55,37.55,1375.5,375.5,13755.0,3755.0,68.46,168.46,68.46,1684.6,684.6,16846.0,6846.0,89.0,189.0,89.0,1890.0,890.0,18900.0,8900.0,Cisco Live Protect cybersecurity software to combat AI-powered attacks ,Yahoo Finance,2026-06-02,-0.402,Is It Too Late To Consider Cisco Systems (CSCO) After Its Strong Share Price Run,Simply Wall St.,2026-06-02,0.67,Is Zoom Stock A Buy After The Anthropic IPO Hype?,Trefis,2026-06-02,0.0,7,buy,0.68,"Cisco has +68.31% YTD, +37.42% 1M, low beta 0.912, buy consensus, and its Cisco Live Protect launch directly addresses AI-powered cyberattacks, supported by news sentiment 0.103.",+68% YTD; +37% 1M; low beta 0.91; Cisco Live catalyst,,,,,
PLTR,Palantir Technologies,Tech,hardware-infra,NASDAQ,153.15,-3.16%,+12.12%,+4.88%,-8.76%,+21%,272.663,1.521,174.03,46.59,,3.31,buy,1.9,-3.16,96.84,-3.16,968.4,-31.6,9684.0,-316.0,12.12,112.12,12.12,1121.2,121.2,11212.0,1212.0,4.88,104.88,4.88,1048.8,48.8,10488.0,488.0,-8.76,91.24,-8.76,912.4,-87.6,9124.0,-876.0,21.0,121.0,21.0,1210.0,210.0,12100.0,2100.0,Palantir Leads Software Stocks as Earnings Revisions Improve,GuruFocus.com,2026-06-02,0.44,"Palantir, XAI, PayPal, and Robinhood stock analysis",Stocktwits,2026-06-02,0.0,"Software stocks whipsaw amid AI fears, as Anthropic IPO looms",Investing.com,2026-06-02,-0.527,,,,,,,,,,
