ticker,company_name,sector,category,exchange,price_usd,change_1d,change_1w,change_1m,change_ytd,return_1yr,market_cap_gbp_b,beta,pe_ratio,avg_volume_m,vol_1d,vol_1w,vol_1m,div_yield_pct,short_pct,analyst,analyst_score,pct_1d,val_100_1d,profit_100_1d,val_1000_1d,profit_1000_1d,val_10000_1d,profit_10000_1d,pct_1w,val_100_1w,profit_100_1w,val_1000_1w,profit_1000_1w,val_10000_1w,profit_10000_1w,pct_1m,val_100_1m,profit_100_1m,val_1000_1m,profit_1000_1m,val_10000_1m,profit_10000_1m,pct_ytd,val_100_ytd,profit_100_ytd,val_1000_ytd,profit_1000_ytd,val_10000_ytd,profit_10000_ytd,pct_1y,val_100_1y,profit_100_1y,val_1000_1y,profit_1000_1y,val_10000_1y,profit_10000_1y,news1_title,news1_publisher,news1_date,news1_sentiment,news2_title,news2_publisher,news2_date,news2_sentiment,news3_title,news3_publisher,news3_date,news3_sentiment,signal_rank,signal,signal_confidence,signal_rationale,signal_drivers,portfolio_held,portfolio_quantity,portfolio_avg_price,portfolio_ppl,portfolio_total_value
SNDK,SanDisk Corporation,AI,memory,NASDAQ,2050.39,-2.78%,-9.82%,+16.40%,+644.95%,+4510%,229.04,,70.05,14.13,10808419,65927319,228936219,,11.5,buy,1.59,-2.78,97.22,-2.78,972.2,-27.8,9722.0,-278.0,-9.82,90.18,-9.82,901.8,-98.2,9018.0,-982.0,16.4,116.4,16.4,1164.0,164.0,11640.0,1640.0,644.95,744.95,644.95,7449.5,6449.5,74495.0,64495.0,4510.0,4610.0,4510.0,46100.0,45100.0,461000.0,451000.0,Micron CEO Sanjay Mehrotra Says Watching Berkeley’s ‘The Play’ Helped Shape A Leadership Quality He Later Brought To SanDisk,Benzinga,2026-06-29,0.0,Micron and Intel Lead Chip Selloff,GuruFocus.com,2026-06-29,0.0,"Citi Just Slapped a Massive $2,500 Price Target on SanDisk. Here’s Why They’re So Bullish",24/7 Wall St.,2026-06-29,0.0,5,strong_buy,1.0,"SanDisk rides Micron's coattails with a +659.6% YTD, 1M gain of +31.5%, and a buy consensus. It reported Q3 revenue of $5.95B (+251% YoY) and guided Q4 higher, supported by multi-year customer agreements validated by Micron's $100B disclosure. [247wallst.com](https://247wallst.com/investing/2026/06/25/micron-soars-17-sandisk-jumps-15-western-digital-climbs-13-after-blowout-quarter-locks-in-100b-of-ai-memory-demand/)",+660% YTD; +31.5% 1M; revenue +251% YoY; analyst buy,,,,,
WDC,Western Digital,AI,memory,NASDAQ,651.88,+10.77%,-11.02%,+19.38%,+247.56%,+816%,169.487,2.2,39.01,8.39,11223777,71209077,206721877,10.0,8.66,buy,1.52,10.77,110.77,10.77,1107.7,107.7,11077.0,1077.0,-11.02,88.98,-11.02,889.8,-110.2,8898.0,-1102.0,19.38,119.38,19.38,1193.8,193.8,11938.0,1938.0,247.56,347.56,247.56,3475.6,2475.6,34756.0,24756.0,816.0,916.0,816.0,9160.0,8160.0,91600.0,81600.0,Micron and Intel Lead Chip Selloff,GuruFocus.com,2026-06-29,0.0,3 AI Infrastructure Stocks Up 500%+ With More Upside in 2H 2026,Zacks,2026-06-29,0.0,"Citi Just Slapped a Massive $2,500 Price Target on SanDisk. Here’s Why They’re So Bullish",24/7 Wall St.,2026-06-29,0.0,9,strong_buy,1.0,"Western Digital is up +212.67% YTD with a P/E of 35.1 and a dividend yield of 10%. It climbed 13% after Micron's earnings, and CEO Irving Tan confirmed strong HDD demand from AI workloads. [247wallst.com](https://247wallst.com/investing/2026/06/25/micron-soars-17-sandisk-jumps-15-western-digital-climbs-13-after-blowout-quarter-locks-in-100b-of-ai-memory-demand/)",+213% YTD; P/E 35.1; 10% dividend yield; AI HDD demand,,,,,
285A,Kioxia Holdings,AI,memory,TSE,88450.0,-3.57%,-18.63%,+34.32%,+679.30%,+3583%,225.548,,91.74,36.27,44715800,211805300,844368400,,,buy,1.62,-3.57,96.43,-3.57,964.3,-35.7,9643.0,-357.0,-18.63,81.37,-18.63,813.7,-186.3,8137.0,-1863.0,34.32,134.32,34.32,1343.2,343.2,13432.0,3432.0,679.3,779.3,679.3,7793.0,6793.0,77930.0,67930.0,3583.0,3683.0,3583.0,36830.0,35830.0,368300.0,358300.0,BlueBay Sees Near-Term Risk in Japan AI Stocks Followed by Rally,Bloomberg,2026-06-28,-0.273,Apple Price Hikes Spark Asia Tech Selloff on Memory Cost Concern,Bloomberg,2026-06-26,0.226,Micron Jumps 267% as It Sees Memory Shortages Beyond 2027,GuruFocus.com,2026-06-25,-0.153,6,strong_buy,1.0,"Japan-listed memory stock 285A has surged +674% YTD and +33.4% in the past month. With news sentiment of 0.233 and a buy rating, it benefits from the same AI memory supply tightness, though its P/E of 87.43 is elevated.",+674% YTD; +33.4% 1M; positive news sentiment; AI memory upcycle,,,,,
MU,Micron Technology,AI,memory,NASDAQ,1145.28,+1.05%,-5.46%,+10.60%,+263.25%,+819%,975.678,2.173,25.87,52.23,59870891,357308791,1161798191,5.0,3.69,strong_buy,1.47,1.05,101.05,1.05,1010.5,10.5,10105.0,105.0,-5.46,94.54,-5.46,945.4,-54.6,9454.0,-546.0,10.6,110.6,10.6,1106.0,106.0,11060.0,1060.0,263.25,363.25,263.25,3632.5,2632.5,36325.0,26325.0,819.0,919.0,819.0,9190.0,8190.0,91900.0,81900.0,Why Samsung & SK Hynix are investing so much in South Korea's AI build-out,Yahoo Finance Video,2026-06-29,0.0,"Nvidia, Micron, and Broadcom hold the stock market's fate in the palm of their hands",Yahoo Finance,2026-06-29,0.0,Inside SOXX: The Few Names Behind The Fund's Big Year,Trefis,2026-06-29,0.0,1,strong_buy,1.0,"Micron's record FQ3 revenue of $41.5B (+346% YoY), $25.11 EPS beat, and $100B in contracted AI memory revenue with $22B in customer deposits justify analyst strong_buy. Its P/E of 25.58 is the cheapest among memory peers despite +819% 1Y return. [fortune.com](https://fortune.com/2026/06/25/why-did-stock-market-tech-selloff-stop-micron-technology/)",record revenue $41.5B; P/E 25.58; $100B contracted revenue; strong_buy consensus,,,,,
STX,Seagate Technology,AI,memory,NASDAQ,968.53,+7.38%,-11.41%,+5.21%,+237.66%,+524%,165.293,2.083,91.98,4.26,5337614,29652414,91112714,33.0,4.27,buy,1.54,7.38,107.38,7.38,1073.8,73.8,10738.0,738.0,-11.41,88.59,-11.41,885.9,-114.1,8859.0,-1141.0,5.21,105.21,5.21,1052.1,52.1,10521.0,521.0,237.66,337.66,237.66,3376.6,2376.6,33766.0,23766.0,524.0,624.0,524.0,6240.0,5240.0,62400.0,52400.0,Micron and Intel Lead Chip Selloff,GuruFocus.com,2026-06-29,0.0,3 AI Infrastructure Stocks Up 500%+ With More Upside in 2H 2026,Zacks,2026-06-29,0.0,"Seagate (STX): Buy, Sell, or Hold Post Q1 Earnings?",StockStory,2026-06-29,0.0,,,,,,,,,,
MRVL,Marvell Technology,AI,memory,NASDAQ,277.75,+4.62%,-9.78%,+26.58%,+211.10%,+245%,183.279,2.277,95.45,42.81,31025441,194182041,1433971441,9.0,5.26,strong_buy,1.45,4.62,104.62,4.62,1046.2,46.2,10462.0,462.0,-9.78,90.22,-9.78,902.2,-97.8,9022.0,-978.0,26.58,126.58,26.58,1265.8,265.8,12658.0,2658.0,211.1,311.1,211.1,3111.0,2111.0,31110.0,21110.0,245.0,345.0,245.0,3450.0,2450.0,34500.0,24500.0,Micron and Intel Lead Chip Selloff,GuruFocus.com,2026-06-29,0.0,What Was AMD Stock Really Saying Before Its AI Breakout?,Trefis,2026-06-29,0.0,Wall Street Just Supersized Its Price Target on Intel. Is the Stock Still Too Cheap?,24/7 Wall St.,2026-06-29,0.0,2,strong_buy,0.994,"Marvell has surged +34.3% over the past month and boasts a strong_buy analyst consensus (score 1.45) with a positive news sentiment of 0.368, benefiting from AI connectivity demand as part of the new 'MANIA' trade replacing the Magnificent 7.",+34% 1M momentum; strong_buy consensus (1.45); positive news sentiment; AI connectivity tailwind,,,,,
P,Everpure,AI,memory,NYSE,72.32,+4.06%,-6.13%,-14.36%,+4.80%,+20%,18.133,1.445,109.58,3.37,1683598,14736698,68991798,,3.95,buy,1.9,4.06,104.06,4.06,1040.6,40.6,10406.0,406.0,-6.13,93.87,-6.13,938.7,-61.3,9387.0,-613.0,-14.36,85.64,-14.36,856.4,-143.6,8564.0,-1436.0,4.8,104.8,4.8,1048.0,48.0,10480.0,480.0,20.0,120.0,20.0,1200.0,200.0,12000.0,2000.0,3 Cash-Producing Stocks to Own for Decades,StockStory,2026-06-29,0.0,"Quantum's Q4 Adjusted Loss Narrows Y/Y, Revenues Match Estimates",Zacks,2026-06-26,-0.318,KEEL vs. P: Which AI Infrastructure Stock Provides an Upside?,Zacks,2026-06-26,0.0,,,,,,,,,,
RR.,Rolls-Royce Holdings,AI,nuclear-ops,LSE,1415.2,+0.64%,+0.24%,+5.82%,+18.23%,+45%,1.173,1.22,20.51,34.52,17664785,185530579,710423396,68.0,,buy,1.6,0.64,100.64,0.64,1006.4,6.4,10064.0,64.0,0.24,100.24,0.24,1002.4,2.4,10024.0,24.0,5.82,105.82,5.82,1058.2,58.2,10582.0,582.0,18.23,118.23,18.23,1182.3,182.3,11823.0,1823.0,45.0,145.0,45.0,1450.0,450.0,14500.0,4500.0,AirAsia Shares Drop 30% as Carrier Seeks Payment Deferrals,GuruFocus.com,2026-06-24,0.026,Is Heico (HEI) Stock Outpacing Its Aerospace Peers This Year?,Zacks,2026-06-24,0.0,The hidden reality behind Britain’s homegrown nuclear age,The Telegraph,2026-06-21,0.0,,,,,,,,,,
CEG,Constellation Energy,AI,nuclear-ops,NASDAQ,259.32,-1.59%,-5.88%,-2.40%,-28.99%,-18%,69.852,1.091,22.53,3.55,2973378,16495678,88205378,65.0,3.56,buy,1.52,-1.59,98.41,-1.59,984.1,-15.9,9841.0,-159.0,-5.88,94.12,-5.88,941.2,-58.8,9412.0,-588.0,-2.4,97.6,-2.4,976.0,-24.0,9760.0,-240.0,-28.99,71.01,-28.99,710.1,-289.9,7101.0,-2899.0,-18.0,82.0,-18.0,820.0,-180.0,8200.0,-1800.0,V&E Appoints Michael Jay as New IP Litigation Partner in LA,CorpGov.com,2026-06-29,-0.202,Walmart (WMT) Secures Long Term Nuclear Power Deal With Constellation Energy,Simply Wall St.,2026-06-29,0.527,Will Constellation's Long-Term Nuclear PPAs Drive Sustainable Growth?,Zacks,2026-06-29,0.382,,,,,,,,,,
VST,Vistra Corp,AI,nuclear-ops,NYSE,162.38,-0.69%,-2.92%,+5.07%,-1.45%,-16%,41.3,1.405,27.15,4.66,2800978,19495878,88009778,56.0,5.27,strong_buy,1.4,-0.69,99.31,-0.69,993.1,-6.9,9931.0,-69.0,-2.92,97.08,-2.92,970.8,-29.2,9708.0,-292.0,5.07,105.07,5.07,1050.7,50.7,10507.0,507.0,-1.45,98.55,-1.45,985.5,-14.5,9855.0,-145.0,-16.0,84.0,-16.0,840.0,-160.0,8400.0,-1600.0,Vistra (VST) Buys Cogentrix For $4 Billion And Locks In Meta And AWS Deals,Simply Wall St.,2026-06-29,0.0,Vistra or Public Service Enterprise: Which Utility Stock Stands Out?,Zacks,2026-06-29,0.0,"Nancy Pelosi Has Added These 9 Stocks To Her Portfolio Since 2025, Including Three Magnificent Seven Names",Benzinga,2026-06-28,0.599,,,,,,,,,,
